key_name,group_kind,n,mean,p50,p90,p95,p99,max
date+expiration+strike,call_put_mix,10530258,0.1025970165954148,0.04877999999999999,0.30243,0.39023,0.59511,2.95602
date+expiration+strike,same_type,444,0.0,0.0,0.0,0.0,0.0,0.0
date+expiration+strike,all_dup_groups,10530702,0.10259269085574726,0.04877999999999999,0.30243,0.39023,0.59511,2.95602
"date+round(lm,8)+round(tau,8)",call_put_mix,10530258,0.10259701659541481,0.04877999999999999,0.30243,0.39023,0.59511,2.95602
"date+round(lm,8)+round(tau,8)",same_type,444,0.0,0.0,0.0,0.0,0.0,0.0
"date+round(lm,8)+round(tau,8)",all_dup_groups,10530702,0.10259269085574729,0.04877999999999999,0.30243,0.39023,0.59511,2.95602
"date+round(lm,10)+round(tau,10)",call_put_mix,10530258,0.10259701659541481,0.04877999999999999,0.30243,0.39023,0.59511,2.95602
"date+round(lm,10)+round(tau,10)",same_type,444,0.0,0.0,0.0,0.0,0.0,0.0
"date+round(lm,10)+round(tau,10)",all_dup_groups,10530702,0.10259269085574729,0.04877999999999999,0.30243,0.39023,0.59511,2.95602
"date+round(lm,12)+round(tau,12)",call_put_mix,10530258,0.10259701659541481,0.04877999999999999,0.30243,0.39023,0.59511,2.95602
"date+round(lm,12)+round(tau,12)",same_type,444,0.0,0.0,0.0,0.0,0.0,0.0
"date+round(lm,12)+round(tau,12)",all_dup_groups,10530702,0.10259269085574729,0.04877999999999999,0.30243,0.39023,0.59511,2.95602
