benchmark,key_decimals,split,moneyness_bucket,maturity_bucket,n_hidden_rows,n_hidden_with_obs_twin,pct_hidden_with_twin,twin_mae,twin_iv_range_mean
spy_phase1_random40_noiselow,8,train,deep_put_wing,short,241609,55709,23.057501997028258,0.32671757238758564,0.32720066434507933
spy_phase1_random40_noiselow,8,train,put_wing,short,476917,176683,37.04690753317663,0.11579613602499711,0.11510916834104848
spy_phase1_random40_noiselow,8,train,atm,short,655715,255623,38.98385731605957,0.03877746254507192,0.036752869538374165
spy_phase1_random40_noiselow,8,train,call_wing,short,238485,60234,25.256934398389834,0.11686028944538467,0.1169991880001513
spy_phase1_random40_noiselow,8,train,deep_call_wing,short,45809,3429,7.4854286275622695,0.4083664900204949,0.4085530883639569
spy_phase1_random40_noiselow,8,train,deep_put_wing,medium,791285,291893,36.88847886665361,0.18594371426056516,0.18573353201330203
spy_phase1_random40_noiselow,8,train,put_wing,medium,600304,239938,39.96941549614862,0.044927579520380116,0.0440220742858983
spy_phase1_random40_noiselow,8,train,atm,medium,575252,231097,40.17317627752707,0.02483429220180295,0.02340352527295251
spy_phase1_random40_noiselow,8,train,call_wing,medium,441926,163874,37.08177387164367,0.07178464627220545,0.07170440588502969
spy_phase1_random40_noiselow,8,train,deep_call_wing,medium,164464,27207,16.542830041832865,0.15022688108576662,0.1504505094277042
spy_phase1_random40_noiselow,8,train,put_wing,long,514528,205749,39.98791125069967,0.04821327365702703,0.04819368376034966
spy_phase1_random40_noiselow,8,train,atm,long,426888,171038,40.0662468844287,0.03753113590394822,0.03702909300860186
spy_phase1_random40_noiselow,8,train,call_wing,long,439488,176255,40.104621741663024,0.05622334445697712,0.05618079980713165
spy_phase1_random40_noiselow,8,train,deep_put_wing,long,736461,293537,39.85777929856435,0.18751832426913817,0.18764143777432363
spy_phase1_random40_noiselow,8,train,deep_call_wing,long,321436,113139,35.197986535422295,0.112577914044068,0.11269938968878039
spy_phase1_random40_noiselow,10,train,deep_put_wing,short,241609,55709,23.057501997028258,0.32671757238758564,0.32720066434507933
spy_phase1_random40_noiselow,10,train,put_wing,short,476917,176683,37.04690753317663,0.11579613602499711,0.11510916834104848
spy_phase1_random40_noiselow,10,train,atm,short,655715,255623,38.98385731605957,0.03877746254507192,0.036752869538374165
spy_phase1_random40_noiselow,10,train,call_wing,short,238485,60234,25.256934398389834,0.11686028944538467,0.1169991880001513
spy_phase1_random40_noiselow,10,train,deep_call_wing,short,45809,3429,7.4854286275622695,0.4083664900204949,0.4085530883639569
spy_phase1_random40_noiselow,10,train,deep_put_wing,medium,791285,291893,36.88847886665361,0.18594371426056516,0.18573353201330203
spy_phase1_random40_noiselow,10,train,put_wing,medium,600304,239938,39.96941549614862,0.044927579520380116,0.0440220742858983
spy_phase1_random40_noiselow,10,train,atm,medium,575252,231097,40.17317627752707,0.02483429220180295,0.02340352527295251
spy_phase1_random40_noiselow,10,train,call_wing,medium,441926,163874,37.08177387164367,0.07178464627220545,0.07170440588502969
spy_phase1_random40_noiselow,10,train,deep_call_wing,medium,164464,27207,16.542830041832865,0.15022688108576662,0.1504505094277042
spy_phase1_random40_noiselow,10,train,put_wing,long,514528,205749,39.98791125069967,0.04821327365702703,0.04819368376034966
spy_phase1_random40_noiselow,10,train,atm,long,426888,171038,40.0662468844287,0.03753113590394822,0.03702909300860186
spy_phase1_random40_noiselow,10,train,call_wing,long,439488,176255,40.104621741663024,0.05622334445697712,0.05618079980713165
spy_phase1_random40_noiselow,10,train,deep_put_wing,long,736461,293537,39.85777929856435,0.18751832426913817,0.18764143777432363
spy_phase1_random40_noiselow,10,train,deep_call_wing,long,321436,113139,35.197986535422295,0.112577914044068,0.11269938968878039
spy_phase1_random40_noiselow,12,train,deep_put_wing,short,241609,55709,23.057501997028258,0.32671757238758564,0.32720066434507933
spy_phase1_random40_noiselow,12,train,put_wing,short,476917,176683,37.04690753317663,0.11579613602499711,0.11510916834104848
spy_phase1_random40_noiselow,12,train,atm,short,655715,255623,38.98385731605957,0.03877746254507192,0.036752869538374165
spy_phase1_random40_noiselow,12,train,call_wing,short,238485,60234,25.256934398389834,0.11686028944538467,0.1169991880001513
spy_phase1_random40_noiselow,12,train,deep_call_wing,short,45809,3429,7.4854286275622695,0.4083664900204949,0.4085530883639569
spy_phase1_random40_noiselow,12,train,deep_put_wing,medium,791285,291893,36.88847886665361,0.18594371426056516,0.18573353201330203
spy_phase1_random40_noiselow,12,train,put_wing,medium,600304,239938,39.96941549614862,0.044927579520380116,0.0440220742858983
spy_phase1_random40_noiselow,12,train,atm,medium,575252,231097,40.17317627752707,0.02483429220180295,0.02340352527295251
spy_phase1_random40_noiselow,12,train,call_wing,medium,441926,163874,37.08177387164367,0.07178464627220545,0.07170440588502969
spy_phase1_random40_noiselow,12,train,deep_call_wing,medium,164464,27207,16.542830041832865,0.15022688108576662,0.1504505094277042
spy_phase1_random40_noiselow,12,train,put_wing,long,514528,205749,39.98791125069967,0.04821327365702703,0.04819368376034966
spy_phase1_random40_noiselow,12,train,atm,long,426888,171038,40.0662468844287,0.03753113590394822,0.03702909300860186
spy_phase1_random40_noiselow,12,train,call_wing,long,439488,176255,40.104621741663024,0.05622334445697712,0.05618079980713165
spy_phase1_random40_noiselow,12,train,deep_put_wing,long,736461,293537,39.85777929856435,0.18751832426913817,0.18764143777432363
spy_phase1_random40_noiselow,12,train,deep_call_wing,long,321436,113139,35.197986535422295,0.112577914044068,0.11269938968878039
spy_phase1_random40_noiselow,8,val,deep_put_wing,short,165271,52322,31.658306659970595,0.3121597176342115,0.3119623219678133
spy_phase1_random40_noiselow,8,val,put_wing,short,350916,135688,38.66680345153826,0.13348348985199576,0.13257863694654787
spy_phase1_random40_noiselow,8,val,atm,short,396851,156916,39.54028086107884,0.036322448207624966,0.034198820897819754
