benchmark,key_decimals,split,moneyness_bucket,maturity_bucket,n_hidden_rows,n_hidden_with_obs_twin,pct_hidden_with_twin,twin_mae,twin_iv_range_mean
spy_phase1_drop_short_maturity100_noise0_otm,8,train,put_wing,short,366673,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,8,train,atm,short,531497,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,8,train,call_wing,short,124689,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,10,train,put_wing,short,366673,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,10,train,atm,short,531497,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,10,train,call_wing,short,124689,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,12,train,put_wing,short,366673,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,12,train,atm,short,531497,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,12,train,call_wing,short,124689,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,8,train,deep_put_wing,short,115008,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,10,train,deep_put_wing,short,115008,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,12,train,deep_put_wing,short,115008,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,8,train,deep_call_wing,short,7017,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,10,train,deep_call_wing,short,7017,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,12,train,deep_call_wing,short,7017,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,8,val,put_wing,short,282867,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,8,val,atm,short,326734,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,8,val,deep_put_wing,short,108928,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,8,val,call_wing,short,145318,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,10,val,put_wing,short,282867,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,10,val,atm,short,326734,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,10,val,deep_put_wing,short,108928,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,10,val,call_wing,short,145318,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,12,val,put_wing,short,282867,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,12,val,atm,short,326734,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,12,val,deep_put_wing,short,108928,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,12,val,call_wing,short,145318,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,8,val,deep_call_wing,short,2059,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,10,val,deep_call_wing,short,2059,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,12,val,deep_call_wing,short,2059,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,8,test,put_wing,short,289368,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,8,test,atm,short,400323,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,8,test,deep_put_wing,short,96737,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,8,test,call_wing,short,72027,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,10,test,put_wing,short,289368,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,10,test,atm,short,400323,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,10,test,deep_put_wing,short,96737,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,10,test,call_wing,short,72027,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,12,test,put_wing,short,289368,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,12,test,atm,short,400323,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,12,test,deep_put_wing,short,96737,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,12,test,call_wing,short,72027,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,8,test,deep_call_wing,short,842,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,10,test,deep_call_wing,short,842,0,0.0,,
spy_phase1_drop_short_maturity100_noise0_otm,12,test,deep_call_wing,short,842,0,0.0,,
