benchmark,key_decimals,split,moneyness_bucket,maturity_bucket,n_hidden_rows,n_hidden_with_obs_twin,pct_hidden_with_twin,twin_mae,twin_iv_range_mean
spy_phase1_drop_wings100_noise0_otm,8,train,deep_put_wing,medium,380573,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,8,train,deep_put_wing,long,436887,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,8,train,deep_call_wing,long,94392,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,10,train,deep_put_wing,medium,380573,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,10,train,deep_put_wing,long,436887,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,10,train,deep_call_wing,long,94392,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,12,train,deep_put_wing,medium,380573,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,12,train,deep_put_wing,long,436887,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,12,train,deep_call_wing,long,94392,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,8,train,deep_put_wing,short,51107,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,10,train,deep_put_wing,short,51107,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,12,train,deep_put_wing,short,51107,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,8,train,deep_call_wing,medium,18022,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,10,train,deep_call_wing,medium,18022,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,12,train,deep_call_wing,medium,18022,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,8,train,deep_call_wing,short,1650,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,10,train,deep_call_wing,short,1650,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,12,train,deep_call_wing,short,1650,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,8,val,deep_put_wing,short,56673,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,8,val,deep_put_wing,medium,155968,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,8,val,deep_call_wing,medium,16201,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,8,val,deep_put_wing,long,158865,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,8,val,deep_call_wing,long,89880,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,10,val,deep_put_wing,short,56673,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,10,val,deep_put_wing,medium,155968,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,10,val,deep_call_wing,medium,16201,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,10,val,deep_put_wing,long,158865,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,10,val,deep_call_wing,long,89880,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,12,val,deep_put_wing,short,56673,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,12,val,deep_put_wing,medium,155968,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,12,val,deep_call_wing,medium,16201,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,12,val,deep_put_wing,long,158865,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,12,val,deep_call_wing,long,89880,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,8,val,deep_call_wing,short,26,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,10,val,deep_call_wing,short,26,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,12,val,deep_call_wing,short,26,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,8,test,deep_put_wing,short,44463,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,8,test,deep_put_wing,medium,179706,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,8,test,deep_call_wing,medium,7757,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,8,test,deep_put_wing,long,199879,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,8,test,deep_call_wing,long,81928,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,10,test,deep_put_wing,short,44463,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,10,test,deep_put_wing,medium,179706,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,10,test,deep_call_wing,medium,7757,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,10,test,deep_put_wing,long,199879,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,10,test,deep_call_wing,long,81928,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,12,test,deep_put_wing,short,44463,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,12,test,deep_put_wing,medium,179706,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,12,test,deep_call_wing,medium,7757,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,12,test,deep_put_wing,long,199879,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,12,test,deep_call_wing,long,81928,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,8,test,deep_call_wing,short,39,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,10,test,deep_call_wing,short,39,0,0.0,,
spy_phase1_drop_wings100_noise0_otm,12,test,deep_call_wing,short,39,0,0.0,,
