benchmark,key_decimals,split,moneyness_bucket,maturity_bucket,n_hidden_rows,n_hidden_with_obs_twin,pct_hidden_with_twin,twin_mae,twin_iv_range_mean
spy_phase1_random20_noiselow_otm,8,train,put_wing,short,293268,0,0.0,,
spy_phase1_random20_noiselow_otm,8,train,atm,short,425259,0,0.0,,
spy_phase1_random20_noiselow_otm,8,train,call_wing,short,99918,0,0.0,,
spy_phase1_random20_noiselow_otm,8,train,deep_put_wing,medium,485036,0,0.0,,
spy_phase1_random20_noiselow_otm,8,train,put_wing,medium,399490,0,0.0,,
spy_phase1_random20_noiselow_otm,8,train,atm,medium,383425,0,0.0,,
spy_phase1_random20_noiselow_otm,8,train,call_wing,medium,272232,0,0.0,,
spy_phase1_random20_noiselow_otm,8,train,deep_call_wing,medium,45619,0,0.0,,
spy_phase1_random20_noiselow_otm,8,train,put_wing,long,343235,0,0.0,,
spy_phase1_random20_noiselow_otm,8,train,atm,long,284369,0,0.0,,
spy_phase1_random20_noiselow_otm,8,train,call_wing,long,292879,0,0.0,,
spy_phase1_random20_noiselow_otm,8,train,deep_put_wing,long,489518,0,0.0,,
spy_phase1_random20_noiselow_otm,8,train,deep_call_wing,long,188869,0,0.0,,
spy_phase1_random20_noiselow_otm,10,train,put_wing,short,293268,0,0.0,,
spy_phase1_random20_noiselow_otm,10,train,atm,short,425259,0,0.0,,
spy_phase1_random20_noiselow_otm,10,train,call_wing,short,99918,0,0.0,,
spy_phase1_random20_noiselow_otm,10,train,deep_put_wing,medium,485036,0,0.0,,
spy_phase1_random20_noiselow_otm,10,train,put_wing,medium,399490,0,0.0,,
spy_phase1_random20_noiselow_otm,10,train,atm,medium,383425,0,0.0,,
spy_phase1_random20_noiselow_otm,10,train,call_wing,medium,272232,0,0.0,,
spy_phase1_random20_noiselow_otm,10,train,deep_call_wing,medium,45619,0,0.0,,
spy_phase1_random20_noiselow_otm,10,train,put_wing,long,343235,0,0.0,,
spy_phase1_random20_noiselow_otm,10,train,atm,long,284369,0,0.0,,
spy_phase1_random20_noiselow_otm,10,train,call_wing,long,292879,0,0.0,,
spy_phase1_random20_noiselow_otm,10,train,deep_put_wing,long,489518,0,0.0,,
spy_phase1_random20_noiselow_otm,10,train,deep_call_wing,long,188869,0,0.0,,
spy_phase1_random20_noiselow_otm,12,train,put_wing,short,293268,0,0.0,,
spy_phase1_random20_noiselow_otm,12,train,atm,short,425259,0,0.0,,
spy_phase1_random20_noiselow_otm,12,train,call_wing,short,99918,0,0.0,,
spy_phase1_random20_noiselow_otm,12,train,deep_put_wing,medium,485036,0,0.0,,
spy_phase1_random20_noiselow_otm,12,train,put_wing,medium,399490,0,0.0,,
spy_phase1_random20_noiselow_otm,12,train,atm,medium,383425,0,0.0,,
spy_phase1_random20_noiselow_otm,12,train,call_wing,medium,272232,0,0.0,,
spy_phase1_random20_noiselow_otm,12,train,deep_call_wing,medium,45619,0,0.0,,
spy_phase1_random20_noiselow_otm,12,train,put_wing,long,343235,0,0.0,,
spy_phase1_random20_noiselow_otm,12,train,atm,long,284369,0,0.0,,
spy_phase1_random20_noiselow_otm,12,train,call_wing,long,292879,0,0.0,,
spy_phase1_random20_noiselow_otm,12,train,deep_put_wing,long,489518,0,0.0,,
spy_phase1_random20_noiselow_otm,12,train,deep_call_wing,long,188869,0,0.0,,
spy_phase1_random20_noiselow_otm,8,train,deep_put_wing,short,92115,0,0.0,,
spy_phase1_random20_noiselow_otm,10,train,deep_put_wing,short,92115,0,0.0,,
spy_phase1_random20_noiselow_otm,12,train,deep_put_wing,short,92115,0,0.0,,
spy_phase1_random20_noiselow_otm,8,train,deep_call_wing,short,5552,0,0.0,,
spy_phase1_random20_noiselow_otm,10,train,deep_call_wing,short,5552,0,0.0,,
spy_phase1_random20_noiselow_otm,12,train,deep_call_wing,short,5552,0,0.0,,
spy_phase1_random20_noiselow_otm,8,val,put_wing,short,226427,0,0.0,,
spy_phase1_random20_noiselow_otm,8,val,atm,short,261384,0,0.0,,
spy_phase1_random20_noiselow_otm,8,val,deep_put_wing,short,87140,0,0.0,,
spy_phase1_random20_noiselow_otm,8,val,call_wing,short,116257,0,0.0,,
spy_phase1_random20_noiselow_otm,8,val,deep_put_wing,medium,202079,0,0.0,,
spy_phase1_random20_noiselow_otm,8,val,put_wing,medium,188078,0,0.0,,
spy_phase1_random20_noiselow_otm,8,val,atm,medium,190539,0,0.0,,
spy_phase1_random20_noiselow_otm,8,val,call_wing,medium,160591,0,0.0,,
spy_phase1_random20_noiselow_otm,8,val,deep_call_wing,medium,48993,0,0.0,,
spy_phase1_random20_noiselow_otm,8,val,deep_put_wing,long,171831,0,0.0,,
spy_phase1_random20_noiselow_otm,8,val,put_wing,long,121820,0,0.0,,
spy_phase1_random20_noiselow_otm,8,val,atm,long,103657,0,0.0,,
spy_phase1_random20_noiselow_otm,8,val,call_wing,long,107179,0,0.0,,
spy_phase1_random20_noiselow_otm,8,val,deep_call_wing,long,124174,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,put_wing,short,226427,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,atm,short,261384,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,deep_put_wing,short,87140,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,call_wing,short,116257,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,deep_put_wing,medium,202079,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,put_wing,medium,188078,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,atm,medium,190539,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,call_wing,medium,160591,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,deep_call_wing,medium,48993,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,deep_put_wing,long,171831,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,put_wing,long,121820,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,atm,long,103657,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,call_wing,long,107179,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,deep_call_wing,long,124174,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,put_wing,short,226427,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,atm,short,261384,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,deep_put_wing,short,87140,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,call_wing,short,116257,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,deep_put_wing,medium,202079,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,put_wing,medium,188078,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,atm,medium,190539,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,call_wing,medium,160591,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,deep_call_wing,medium,48993,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,deep_put_wing,long,171831,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,put_wing,long,121820,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,atm,long,103657,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,call_wing,long,107179,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,deep_call_wing,long,124174,0,0.0,,
spy_phase1_random20_noiselow_otm,8,val,deep_call_wing,short,1618,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,deep_call_wing,short,1618,0,0.0,,
