benchmark,key_decimals,split,moneyness_bucket,maturity_bucket,n_hidden_rows,n_hidden_with_obs_twin,pct_hidden_with_twin,twin_mae,twin_iv_range_mean
spy_phase1_random40_noisehigh_otm,8,train,put_wing,short,220433,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,train,atm,short,319092,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,train,call_wing,short,75058,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,train,deep_put_wing,medium,364244,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,train,put_wing,medium,299639,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,train,atm,medium,287307,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,train,call_wing,medium,204128,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,train,deep_call_wing,medium,34330,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,train,put_wing,long,257024,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,train,atm,long,213282,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,train,call_wing,long,219775,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,train,deep_put_wing,long,367014,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,train,deep_call_wing,long,141634,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,train,put_wing,short,220433,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,train,atm,short,319092,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,train,call_wing,short,75058,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,train,deep_put_wing,medium,364244,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,train,put_wing,medium,299639,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,train,atm,medium,287307,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,train,call_wing,medium,204128,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,train,deep_call_wing,medium,34330,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,train,put_wing,long,257024,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,train,atm,long,213282,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,train,call_wing,long,219775,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,train,deep_put_wing,long,367014,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,train,deep_call_wing,long,141634,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,train,put_wing,short,220433,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,train,atm,short,319092,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,train,call_wing,short,75058,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,train,deep_put_wing,medium,364244,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,train,put_wing,medium,299639,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,train,atm,medium,287307,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,train,call_wing,medium,204128,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,train,deep_call_wing,medium,34330,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,train,put_wing,long,257024,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,train,atm,long,213282,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,train,call_wing,long,219775,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,train,deep_put_wing,long,367014,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,train,deep_call_wing,long,141634,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,train,deep_put_wing,short,69206,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,train,deep_put_wing,short,69206,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,train,deep_put_wing,short,69206,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,train,deep_call_wing,short,4167,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,train,deep_call_wing,short,4167,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,train,deep_call_wing,short,4167,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,val,put_wing,short,169818,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,val,atm,short,196015,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,val,deep_put_wing,short,65443,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,val,call_wing,short,87120,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,val,deep_put_wing,medium,151833,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,val,put_wing,medium,141426,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,val,atm,medium,142900,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,val,call_wing,medium,120232,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,val,deep_call_wing,medium,36907,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,val,deep_put_wing,long,128928,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,val,put_wing,long,91417,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,val,atm,long,77628,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,val,call_wing,long,80507,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,val,deep_call_wing,long,93239,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,val,put_wing,short,169818,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,val,atm,short,196015,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,val,deep_put_wing,short,65443,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,val,call_wing,short,87120,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,val,deep_put_wing,medium,151833,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,val,put_wing,medium,141426,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,val,atm,medium,142900,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,val,call_wing,medium,120232,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,val,deep_call_wing,medium,36907,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,val,deep_put_wing,long,128928,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,val,put_wing,long,91417,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,val,atm,long,77628,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,val,call_wing,long,80507,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,val,deep_call_wing,long,93239,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,val,put_wing,short,169818,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,val,atm,short,196015,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,val,deep_put_wing,short,65443,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,val,call_wing,short,87120,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,val,deep_put_wing,medium,151833,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,val,put_wing,medium,141426,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,val,atm,medium,142900,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,val,call_wing,medium,120232,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,val,deep_call_wing,medium,36907,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,val,deep_put_wing,long,128928,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,val,put_wing,long,91417,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,val,atm,long,77628,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,val,call_wing,long,80507,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,val,deep_call_wing,long,93239,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,val,deep_call_wing,short,1243,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,val,deep_call_wing,short,1243,0,0.0,,
spy_phase1_random40_noisehigh_otm,12,val,deep_call_wing,short,1243,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,test,put_wing,short,173420,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,test,atm,short,240487,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,test,call_wing,short,43304,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,test,deep_put_wing,short,58146,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,test,deep_put_wing,medium,165906,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,test,put_wing,medium,180553,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,test,atm,medium,173249,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,test,call_wing,medium,101044,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,test,deep_call_wing,medium,24172,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,test,deep_put_wing,long,157375,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,test,put_wing,long,98189,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,test,atm,long,73017,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,test,call_wing,long,76536,0,0.0,,
spy_phase1_random40_noisehigh_otm,8,test,deep_call_wing,long,95282,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,test,put_wing,short,173420,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,test,atm,short,240487,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,test,call_wing,short,43304,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,test,deep_put_wing,short,58146,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,test,deep_put_wing,medium,165906,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,test,put_wing,medium,180553,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,test,atm,medium,173249,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,test,call_wing,medium,101044,0,0.0,,
spy_phase1_random40_noisehigh_otm,10,test,deep_call_wing,medium,24172,0,0.0,,
