benchmark,key_decimals,split,moneyness_bucket,maturity_bucket,n_hidden_rows,n_hidden_with_obs_twin,pct_hidden_with_twin,twin_mae,twin_iv_range_mean
spy_phase1_random60_noise0_otm,8,train,put_wing,short,147280,0,0.0,,
spy_phase1_random60_noise0_otm,8,train,atm,short,213337,0,0.0,,
spy_phase1_random60_noise0_otm,8,train,deep_put_wing,medium,242712,0,0.0,,
spy_phase1_random60_noise0_otm,8,train,put_wing,medium,199529,0,0.0,,
spy_phase1_random60_noise0_otm,8,train,atm,medium,191628,0,0.0,,
spy_phase1_random60_noise0_otm,8,train,call_wing,medium,136414,0,0.0,,
spy_phase1_random60_noise0_otm,8,train,deep_call_wing,medium,22971,0,0.0,,
spy_phase1_random60_noise0_otm,8,train,atm,long,142347,0,0.0,,
spy_phase1_random60_noise0_otm,8,train,call_wing,long,146769,0,0.0,,
spy_phase1_random60_noise0_otm,8,train,deep_put_wing,long,244478,0,0.0,,
spy_phase1_random60_noise0_otm,8,train,put_wing,long,171579,0,0.0,,
spy_phase1_random60_noise0_otm,8,train,deep_call_wing,long,94264,0,0.0,,
spy_phase1_random60_noise0_otm,10,train,put_wing,short,147280,0,0.0,,
spy_phase1_random60_noise0_otm,10,train,atm,short,213337,0,0.0,,
spy_phase1_random60_noise0_otm,10,train,deep_put_wing,medium,242712,0,0.0,,
spy_phase1_random60_noise0_otm,10,train,put_wing,medium,199529,0,0.0,,
spy_phase1_random60_noise0_otm,10,train,atm,medium,191628,0,0.0,,
spy_phase1_random60_noise0_otm,10,train,call_wing,medium,136414,0,0.0,,
spy_phase1_random60_noise0_otm,10,train,deep_call_wing,medium,22971,0,0.0,,
spy_phase1_random60_noise0_otm,10,train,atm,long,142347,0,0.0,,
spy_phase1_random60_noise0_otm,10,train,call_wing,long,146769,0,0.0,,
spy_phase1_random60_noise0_otm,10,train,deep_put_wing,long,244478,0,0.0,,
spy_phase1_random60_noise0_otm,10,train,put_wing,long,171579,0,0.0,,
spy_phase1_random60_noise0_otm,10,train,deep_call_wing,long,94264,0,0.0,,
spy_phase1_random60_noise0_otm,12,train,put_wing,short,147280,0,0.0,,
spy_phase1_random60_noise0_otm,12,train,atm,short,213337,0,0.0,,
spy_phase1_random60_noise0_otm,12,train,deep_put_wing,medium,242712,0,0.0,,
spy_phase1_random60_noise0_otm,12,train,put_wing,medium,199529,0,0.0,,
spy_phase1_random60_noise0_otm,12,train,atm,medium,191628,0,0.0,,
spy_phase1_random60_noise0_otm,12,train,call_wing,medium,136414,0,0.0,,
spy_phase1_random60_noise0_otm,12,train,deep_call_wing,medium,22971,0,0.0,,
spy_phase1_random60_noise0_otm,12,train,atm,long,142347,0,0.0,,
spy_phase1_random60_noise0_otm,12,train,call_wing,long,146769,0,0.0,,
spy_phase1_random60_noise0_otm,12,train,deep_put_wing,long,244478,0,0.0,,
spy_phase1_random60_noise0_otm,12,train,put_wing,long,171579,0,0.0,,
spy_phase1_random60_noise0_otm,12,train,deep_call_wing,long,94264,0,0.0,,
spy_phase1_random60_noise0_otm,8,train,call_wing,short,49975,0,0.0,,
spy_phase1_random60_noise0_otm,10,train,call_wing,short,49975,0,0.0,,
spy_phase1_random60_noise0_otm,12,train,call_wing,short,49975,0,0.0,,
spy_phase1_random60_noise0_otm,8,train,deep_put_wing,short,46142,0,0.0,,
spy_phase1_random60_noise0_otm,10,train,deep_put_wing,short,46142,0,0.0,,
spy_phase1_random60_noise0_otm,12,train,deep_put_wing,short,46142,0,0.0,,
spy_phase1_random60_noise0_otm,8,train,deep_call_wing,short,2745,0,0.0,,
spy_phase1_random60_noise0_otm,10,train,deep_call_wing,short,2745,0,0.0,,
spy_phase1_random60_noise0_otm,12,train,deep_call_wing,short,2745,0,0.0,,
spy_phase1_random60_noise0_otm,8,val,put_wing,short,113292,0,0.0,,
spy_phase1_random60_noise0_otm,8,val,atm,short,130745,0,0.0,,
spy_phase1_random60_noise0_otm,8,val,call_wing,short,57952,0,0.0,,
spy_phase1_random60_noise0_otm,8,val,deep_put_wing,short,43798,0,0.0,,
spy_phase1_random60_noise0_otm,8,val,deep_put_wing,medium,100886,0,0.0,,
spy_phase1_random60_noise0_otm,8,val,put_wing,medium,94475,0,0.0,,
spy_phase1_random60_noise0_otm,8,val,atm,medium,95359,0,0.0,,
