benchmark,key_decimals,split,moneyness_bucket,maturity_bucket,n_hidden_rows,n_hidden_with_obs_twin,pct_hidden_with_twin,twin_mae,twin_iv_range_mean
spy_phase1_realistic40_noiselow_otm,8,train,deep_put_wing,medium,474035,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,train,put_wing,medium,156786,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,train,atm,medium,91111,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,train,call_wing,medium,93035,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,train,deep_call_wing,medium,38013,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,train,atm,long,323607,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,train,call_wing,long,338229,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,train,deep_put_wing,long,592235,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,train,put_wing,long,394894,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,train,deep_call_wing,long,227331,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,train,deep_put_wing,medium,474035,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,train,put_wing,medium,156786,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,train,atm,medium,91111,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,train,call_wing,medium,93035,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,train,deep_call_wing,medium,38013,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,train,atm,long,323607,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,train,call_wing,long,338229,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,train,deep_put_wing,long,592235,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,train,put_wing,long,394894,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,train,deep_call_wing,long,227331,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,train,deep_put_wing,medium,474035,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,train,put_wing,medium,156786,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,train,atm,medium,91111,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,train,call_wing,medium,93035,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,train,deep_call_wing,medium,38013,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,train,atm,long,323607,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,train,call_wing,long,338229,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,train,deep_put_wing,long,592235,0,0.0,,
