dim,val_nll_delta,abs_rank
57,-0.03875848134358728,1
41,0.034885279337565134,2
7,0.03327482223510714,3
5,-0.02729302088419594,4
59,-0.026713517506917306,5
37,0.026141033172607298,6
27,0.025274270375569508,7
6,-0.019696502685547124,8
17,-0.018860727945963607,9
34,-0.017930094401041874,10
2,0.017270965576171804,11
63,0.014146569569905232,12
20,-0.013927129109700509,13
31,0.012751725514729806,14
18,-0.012001190185547017,15
52,-0.011793537139892951,16
32,-0.011137218475341992,17
35,0.010301774342854841,18
28,-0.010218938191731919,19
22,0.008814239501953036,20
24,-0.008719450632731274,21
4,0.008483606974283742,22
11,0.008070138295491525,23
23,-0.007915528615316081,24
50,0.007744503021239968,25
53,0.006346486409504859,26
0,0.006251970926920425,27
30,0.005782229105631309,28
29,0.0057576179504392755,29
26,0.005605742136637115,30
12,0.005494670867919549,31
1,-0.005384756724039708,32
60,-0.005301545461019241,33
33,0.0050736363728840495,34
3,-0.005033582051595431,35
51,-0.004949925740560079,36
44,-0.004787597656250142,37
38,0.004673932393391755,38
54,-0.004643026987711796,39
61,-0.0044619560241700995,40
15,-0.004288228352864909,41
16,-0.0036351776123049184,42
48,-0.003436247507731416,43
49,-0.003352979024251468,44
56,-0.0030614280700684837,45
43,0.003046251932779853,46
40,-0.002785930633545153,47
36,0.002716217041015323,48
13,0.002273565928140986,49
46,-0.0022233581542971947,50
39,-0.0019858678181967626,51
21,0.0017824808756508048,52
45,-0.0017682520548505387,53
14,-0.0016085688273115295,54
9,0.0014793713887528703,55
47,-0.0014476521809898557,56
55,-0.0012897237141928919,57
58,0.001230487823486115,58
42,0.000996309916178273,59
62,-0.000813032786051604,60
8,-0.0007578595479329486,61
19,-0.0007340431213380683,62
10,-0.0006868044535321971,63
25,-0.000604209899902397,64
