pc,val_nll_delta,variance_ratio,abs_rank
1,0.6759639422098793,0.271696808427179,1
0,0.6578547604878742,0.5067018674233998,2
2,0.11116726557413736,0.08452154473574915,3
5,0.04935338973999004,0.02842605120020646,4
3,0.028111362457275302,0.05363901211847352,5
6,-0.005721480051676497,0.010043638574486301,6
4,0.005699590047200331,0.03826815670439675,7
8,0.004062112172444454,0.0013457013885741036,8
7,0.0021605428059894294,0.003992314464986627,9
9,0.0013472747802731888,0.000502035920169187,10
11,0.00044350306193008393,0.00013356192752538517,11
12,0.00027001698811846,8.886085945468681e-05,12
19,-0.00010096232096357127,1.4862932032927447e-05,13
15,8.938471476227505e-05,3.2259577339803e-05,14
17,-8.72166951499942e-05,2.5139102893603364e-05,15
16,7.12649027505563e-05,2.7524251241486772e-05,16
10,-6.670633951832983e-05,0.00034021698823527254,17
14,5.785624186183114e-05,5.2101423739014744e-05,18
18,-5.411148071310379e-05,1.6721332411021667e-05,19
13,4.690170288057516e-05,5.69517767456639e-05,20
26,4.046758015929797e-05,3.6191380099257222e-06,21
25,-2.5870005289974074e-05,4.377537105720495e-06,22
20,-2.51324971518585e-05,1.2288424001438933e-05,23
28,-2.0573933919632026e-05,2.806966352355825e-06,24
23,-1.7051696777681258e-05,7.273385288552657e-06,25
29,-1.6918182373260038e-05,2.1782588032209207e-06,26
24,-1.2035369873153456e-05,5.411973503870023e-06,27
38,1.0261535644318087e-05,4.844092174213107e-07,28
33,-9.905497233120286e-06,1.3093544796310868e-06,29
27,9.892781575260301e-06,2.869110678411041e-06,30
34,7.572174072212334e-06,1.0801271224244261e-06,31
35,-7.336934407575768e-06,9.3920910295496e-07,32
32,7.266998290678117e-06,1.383361074598872e-06,33
40,-7.03175862648564e-06,4.041228036093251e-07,34
45,5.976359049419955e-06,1.5899355565816474e-07,35
22,-5.76655070005927e-06,8.514827541091708e-06,36
21,-5.5440266928385995e-06,1.2045207902827882e-05,37
53,4.63485717761003e-06,4.740148244376089e-08,38
31,4.196166992098682e-06,1.8111221591900256e-06,39
50,3.948211669602131e-06,8.833207708819748e-08,40
39,3.522237141950768e-06,4.3034361020306243e-07,41
30,-3.274281819898306e-06,1.9835551749464354e-06,42
52,3.007253011055866e-06,6.02024944887788e-08,43
47,-2.943674723532297e-06,1.212287136101565e-07,44
54,2.9309590656723117e-06,4.186249770510017e-08,45
37,2.3396809893938553e-06,5.250530561883677e-07,46
49,-2.148946126379059e-06,1.0644499266886196e-07,47
55,2.0472208657196234e-06,3.24062280099409e-08,48
46,1.9772847492660617e-06,1.328919331417091e-07,49
51,-1.945495605504277e-06,6.394630887514711e-08,50
59,-1.9391377770183738e-06,1.678409154674021e-08,51
61,1.430511474609375e-06,1.1282936475542353e-08,52
42,1.3224283854640362e-06,2.7170084545295386e-07,53
63,-1.271565755356363e-06,7.55600124895949e-09,54
56,1.0681152340374922e-06,2.806211892047903e-08,55
43,9.727478027521386e-07,2.2997891421824815e-07,56
44,-9.346008300603614e-07,2.061908291133857e-07,57
41,8.646647131627105e-07,3.8197308603378364e-07,58
58,7.120768228396912e-07,2.1740963537871127e-08,59
60,4.959106445490136e-07,1.3849159669108909e-08,60
36,-4.5776367185723643e-07,7.465292277678303e-07,61
57,3.3060709636600905e-07,2.36400953822024e-08,62
62,8.265177386945766e-08,8.305216615614153e-09,63
48,1.2715657415895976e-08,1.1208000181892553e-07,64
