idx,sigma,sigma_squared,variance_ratio,cumulative
0,5.116121620804441,26.174700438862665,0.5067018674233998,0.5067018674233998
1,3.7463372972382336,14.035043144678273,0.271696808427179,0.7783986758505789
2,2.0895286028834565,4.36612978226809,0.08452154473574915,0.862920220586328
3,1.6645812291652593,2.7708306684893254,0.05363901211847352,0.9165592327048016
4,1.4059937153018847,1.976818327468397,0.03826815670439675,0.9548273894091983
5,1.2117774726266999,1.4684046431655524,0.02842605120020646,0.9832534406094048
6,0.7202945778914195,0.5188242789397782,0.010043638574486301,0.9932970791838911
7,0.4541266394453817,0.2062310046539557,0.003992314464986627,0.9972893936488777
8,0.26365678852638064,0.0695149021360446,0.0013457013885741036,0.9986350950374518
9,0.16103934793229638,0.02593367158245921,0.000502035920169187,0.999137130957621
10,0.13256919081522114,0.017574590353402513,0.00034021698823527254,0.9994773479458563
11,0.08306268137196474,0.006899409036700537,0.00013356192752538517,0.9996109098733816
12,0.0677516478062363,0.004590285780460284,8.886085945468681e-05,0.9996997707328363
13,0.05423982083664724,0.002941958164391592,5.69517767456639e-05,0.999756722509582
14,0.05187873802705661,0.0026914034592799693,5.2101423739014744e-05,0.999808823933321
15,0.04082196857875777,0.0016664331186450867,3.2259577339803e-05,0.9998410835106608
16,0.03770703328303483,0.0014218203590078966,2.7524251241486772e-05,0.9998686077619023
17,0.03603624204937997,0.001298610741041501,2.5139102893603364e-05,0.9998937468647959
18,0.02939003124833528,0.0008637739367781242,1.6721332411021667e-05,0.999910468197207
19,0.02770874484422792,0.0007677745408425274,1.4862932032927447e-05,0.9999253311292399
20,0.025194903630006253,0.0006347831689253022,1.2288424001438933e-05,0.9999376195532413
21,0.024944325084558527,0.0006222193539241358,1.2045207902827882e-05,0.9999496647611442
22,0.020972612644398307,0.00043985048113197577,8.514827541091708e-06,0.9999581795886853
23,0.019383531505190472,0.0003757212936127116,7.273385288552657e-06,0.9999654529739738
24,0.016720237361791686,0.00027956633743465457,5.411973503870023e-06,0.9999708649474777
25,0.015037634527499219,0.00022613045218263666,4.377537105720495e-06,0.9999752424845834
26,0.013673105974425663,0.00018695382698787476,3.6191380099257222e-06,0.9999788616225933
27,0.012174139068319613,0.00014820966205478592,2.869110678411041e-06,0.9999817307332717
28,0.01204157266927636,0.0001449994723494634,2.806966352355825e-06,0.999984537699624
29,0.010607654024863123,0.00011252232391119481,2.1782588032209207e-06,0.9999867159584273
30,0.010122475872468773,0.00010246451778871245,1.9835551749464354e-06,0.9999886995136023
31,0.009672494238209985,9.355714478820536e-05,1.8111221591900256e-06,0.9999905106357615
32,0.008453418757587112,7.146028869112564e-05,1.383361074598872e-06,0.9999918939968361
33,0.008224191736094639,6.763732971204735e-05,1.3093544796310868e-06,0.9999932033513157
34,0.007469680795244736,5.579613118284803e-05,1.0801271224244261e-06,0.9999942834784381
35,0.006965395069519872,4.8516728474491735e-05,9.3920910295496e-07,0.999995222687541
36,0.006209948741618072,3.856346337352388e-05,7.465292277678303e-07,0.9999959692167688
37,0.00520794276773332,2.712266787198579e-05,5.250530561883677e-07,0.999996494269825
38,0.005002312357948622,2.5023128926485506e-05,4.844092174213107e-07,0.9999969786790424
39,0.00471489783910336,2.2230261633181532e-05,4.3034361020306243e-07,0.9999974090226526
40,0.004569001348180584,2.087577331967599e-05,4.041228036093251e-07,0.9999978131454561
41,0.0044420249063058925,1.973158526824187e-05,3.8197308603378364e-07,0.9999981951185422
42,0.0037463651297404586,1.4035251685335244e-05,2.7170084545295386e-07,0.9999984668193876
43,0.003446740737685703,1.1880021712822185e-05,2.2997891421824815e-07,0.9999986967983019
44,0.0032636177017570395,1.06512005032219e-05,2.061908291133857e-07,0.999998902989131
45,0.0028658560248587413,8.213130755219146e-06,1.5899355565816474e-07,0.9999990619826866
46,0.002620076169519015,6.864799134081434e-06,1.328919331417091e-07,0.9999991948746197
47,0.002502461219482796,6.262312155015323e-06,1.212287136101565e-07,0.9999993161033334
48,0.002406183100385362,5.7897171125801134e-06,1.1208000181892553e-07,0.9999994281833352
49,0.0023449156534633394,5.4986294218574e-06,1.0644499266886196e-07,0.9999995346283279
50,0.0021361110616236276,4.5629704675908215e-06,8.833207708819748e-08,0.999999622960405
51,0.0018174913312654932,3.3032747392252148e-06,6.394630887514711e-08,0.9999996869067139
52,0.0017634853285891784,3.1098805041492824e-06,6.02024944887788e-08,0.9999997471092084
53,0.0015648062412194563,2.448618572559363e-06,4.740148244376089e-08,0.9999997945106908
54,0.0014705411300774312,2.1624912152494085e-06,4.186249770510017e-08,0.9999998363731885
55,0.0012938348630766136,1.6740086529124796e-06,3.24062280099409e-08,0.9999998687794165
56,0.0012039954285222594,1.449604991902499e-06,2.806211892047903e-08,0.9999998968415355
57,0.0011050685516705632,1.2211765038912763e-06,2.36400953822024e-08,0.9999999204816309
58,0.001059751405961607,1.1230730424376028e-06,2.1740963537871127e-08,0.9999999422225945
59,0.0009311368780736487,8.670158857087409e-07,1.678409154674021e-08,0.999999959006686
60,0.0008458168227793182,7.154060976965005e-07,1.3849159669108909e-08,0.9999999728558457
61,0.0007634413505212504,5.828426956857107e-07,1.1282936475542353e-08,0.9999999841387822
62,0.0006549981745752237,4.2902260869687523e-07,8.305216615614153e-09,0.9999999924439988
63,0.0006247562624223009,3.903203874358829e-07,7.55600124895949e-09,1.0
