strike,impliedVolatility,bid,ask,volume,log_moneyness,tau,type,_spot
525.0,1.4736354443359376,219.62,222.42,7.0,-0.3508446670548764,0.008213552361396304,call,745.6400146484375
580.0,1.0976607617187502,164.62,167.43,,-0.25121482610603507,0.008213552361396304,call,745.6400146484375
600.0,0.96679720703125,144.63,147.42,1.0,-0.21731327443035378,0.008213552361396304,call,745.6400146484375
670.0,0.5293015820312501,74.64,77.44,19.0,-0.10696521726148839,0.008213552361396304,call,745.6400146484375
675.0,0.5019581054687501,69.65,72.47,5.0,-0.09953023877397033,0.008213552361396304,call,745.6400146484375
680.0,0.637698935546875,64.65,67.46,6.0,-0.09215013147634776,0.008213552361396304,call,745.6400146484375
685.0,0.5979044116210939,59.66,62.45,27.0,-0.08482409138427487,0.008213552361396304,call,745.6400146484375
690.0,0.5596967858886719,54.66,57.46,65.0,-0.0775513320551951,0.008213552361396304,call,745.6400146484375
693.0,0.5338181384277343,51.66,54.43,1.0,-0.07321293045659699,0.008213552361396304,call,745.6400146484375
694.0,0.5283250292968751,50.67,53.46,1.0,-0.07177096913969569,0.008213552361396304,call,745.6400146484375
695.0,0.520390538330078,49.67,52.46,5.0,-0.07033108408170805,0.008213552361396304,call,745.6400146484375
698.0,0.49805189453125004,46.67,49.48,4.0,-0.06602382688412775,0.008213552361396304,call,745.6400146484375
700.0,0.481450498046875,44.67,47.47,212.0,-0.0631625946030955,0.008213552361396304,call,745.6400146484375
701.0,0.4735160070800781,43.68,46.47,1.0,-0.06173504261191007,0.008213552361396304,call,745.6400146484375
702.0,0.4669242761230469,42.68,45.49,5.0,-0.06030952562068902,0.008213552361396304,call,745.6400146484375
707.0,0.42578699218750005,37.69,40.48,1.0,-0.05321226374992739,0.008213552361396304,call,745.6400146484375
708.0,0.41834077758789057,36.69,39.49,6.0,-0.05179883595278036,0.008213552361396304,call,745.6400146484375
709.0,0.41089456298828125,35.69,38.5,1.0,-0.05038740311437272,0.008213552361396304,call,745.6400146484375
710.0,0.4019835192871094,34.69,37.49,14.0,-0.04897795961113909,0.008213552361396304,call,745.6400146484375
712.0,0.38684695190429685,32.7,35.51,1.0,-0.04616501823452439,0.008213552361396304,call,745.6400146484375
713.0,0.33313655151367194,31.95,33.84,1.0,-0.0447615092322042,0.008213552361396304,call,745.6400146484375
715.0,0.3184882604980468,30.36,31.85,126.0,-0.04196038695249255,0.008213552361396304,call,745.6400146484375
716.0,0.31140825317382803,28.96,30.86,2.0,-0.04056276268585457,0.008213552361396304,call,745.6400146484375
718.0,0.2957834094238281,26.96,28.86,7.0,-0.037773360598275955,0.008213552361396304,call,745.6400146484375
719.0,0.2885813330078124,25.97,27.87,39.0,-0.03638157192545343,0.008213552361396304,call,745.6400146484375
720.0,0.28125718749999995,24.97,26.88,721.0,-0.03499171763639922,0.008213552361396304,call,745.6400146484375
721.0,0.26258061645507813,23.98,25.72,75.0,-0.033603792361551116,0.008213552361396304,call,745.6400146484375
722.0,0.2664868273925781,22.98,24.9,10.0,-0.03221779075367394,0.008213552361396304,call,745.6400146484375
723.0,0.2590406127929688,22.0,23.91,3.0,-0.03083370748773546,0.008213552361396304,call,745.6400146484375
725.0,0.21692677612304687,20.45,21.51,338.0,-0.028071274791825442,0.008213552361396304,call,745.6400146484375
726.0,0.2098467687988281,19.04,20.52,1445.0,-0.02669291482170411,0.008213552361396304,call,745.6400146484375
727.0,0.19727365234375,18.71,19.45,3375.0,-0.025316452112980812,0.008213552361396304,call,745.6400146484375
728.0,0.20899228515624996,17.54,18.76,2671.0,-0.023941881449814184,0.008213552361396304,call,745.6400146484375
729.0,0.21143366699218746,16.23,17.95,1662.0,-0.022569197637841987,0.008213552361396304,call,745.6400146484375
730.0,0.18433432861328125,15.62,16.62,1054.0,-0.021198395504063414,0.008213552361396304,call,745.6400146484375
731.0,0.1726156958007813,14.59,15.56,6.0,-0.019829469896721703,0.008213552361396304,call,745.6400146484375
732.0,0.16718362121582034,13.7,14.61,832.0,-0.018462415685188624,0.008213552361396304,call,745.6400146484375
733.0,0.16040878662109376,12.91,13.64,396.0,-0.01709722775984867,0.008213552361396304,call,745.6400146484375
