model,split,maturity,moneyness,mean_risk_score,mean_instability,flag_fraction,n_points
conditional_surface,train,short,deep_itm,0.572368232563564,0.0054522185256734015,0.0,2407
conditional_surface,train,short,itm,0.4923639593263522,0.004460871408201839,0.0,1527
conditional_surface,train,short,atm,0.3405307683293079,0.0031170904759004066,0.0,1496
conditional_surface,train,short,otm,0.36026123678622773,0.0032637855970614124,0.0,1746
conditional_surface,train,short,deep_otm,0.44704203285213245,0.004147499791796106,0.0,953
conditional_surface,train,medium,deep_itm,0.5175492585217311,0.004113374816930005,0.18127372416701815,11855
conditional_surface,train,medium,itm,0.43480944950084016,0.0027506791190541084,0.35920547487898513,5991
conditional_surface,train,medium,atm,0.27091442805031735,0.0017095114477561962,0.2244738893219018,6415
conditional_surface,train,medium,otm,0.18782545599754555,0.0014023484337590535,0.0840157396575561,9403
conditional_surface,train,medium,deep_otm,0.17247066754619553,0.0015435155520555155,0.0,3178
conditional_surface,train,long,deep_itm,0.22423785375756547,0.0015587718675347982,0.12927635084727698,9383
conditional_surface,train,long,itm,0.20364837033458233,0.0012223016443601044,0.16697674418604652,4300
conditional_surface,train,long,atm,0.1630125863054251,0.0009573205561863499,0.15009208103130756,6516
conditional_surface,train,long,otm,0.17879307965611507,0.0010030274883336956,0.1962230416806347,8949
conditional_surface,train,long,deep_otm,0.21399409200507388,0.001766030338968972,0.04423592493297587,4476
conditional_surface,val,short,deep_itm,0.365310571158218,0.005896614155920694,0.12124707716289945,32075
conditional_surface,val,short,itm,0.1583702367026384,0.00238816242919297,0.01741341662290279,36179
conditional_surface,val,short,atm,0.08702131475875484,0.0013365284001747714,0.0001346861811978091,44548
conditional_surface,val,short,otm,0.2254227572985247,0.002475364266764992,0.16950205857220538,25746
conditional_surface,val,short,deep_otm,0.7742876851730918,0.007003470474562668,0.6316489361702128,1504
conditional_surface,val,medium,deep_itm,0.16876909794381528,0.002509885998487572,0.010501270170668002,55898
conditional_surface,val,medium,itm,0.0858154053066201,0.001342865727636315,0.0,36970
conditional_surface,val,medium,atm,0.06456531232077241,0.0009911734610368646,0.0,33972
conditional_surface,val,medium,otm,0.09387036960855016,0.0009592803394094739,0.07684478371501273,23580
conditional_surface,val,medium,deep_otm,0.42190347904202447,0.0017559501654360592,0.8355094726062468,7812
conditional_surface,val,long,deep_itm,0.1317394201217938,0.0017847837071944652,0.045872079836697666,35272
conditional_surface,val,long,itm,0.06633579115650308,0.0010092684028693013,0.0,26992
conditional_surface,val,long,atm,0.049307359003941995,0.0007468838394485591,0.0,21152
conditional_surface,val,long,otm,0.03647295400639456,0.0005474170197140594,0.0,17528
conditional_surface,val,long,deep_otm,0.06519262890912156,0.00040345664396790874,0.09580766700556187,16721
conditional_surface,test,short,deep_itm,0.37970971333764375,0.010750127447445438,0.31778192482004797,7502
conditional_surface,test,short,itm,0.2046070678040563,0.005854606879880077,0.14084809191237813,41953
conditional_surface,test,short,atm,0.0872211493705681,0.002654646324508585,0.017575083426028922,49445
conditional_surface,test,short,otm,0.5107271413284672,0.006703006739767449,0.5575178284732852,26783
conditional_surface,test,short,deep_otm,0.8208813124334126,0.01344835114452156,0.737511353315168,1101
conditional_surface,test,medium,deep_itm,0.17630631804515173,0.0038208768653584203,0.1807281258145799,23018
conditional_surface,test,medium,itm,0.07900480522650963,0.0025848180059388944,0.00236510161177295,22832
conditional_surface,test,medium,atm,0.044383872226200445,0.0014326712577797816,0.0,28654
conditional_surface,test,medium,otm,0.13301461628593095,0.0010032986210705686,0.2391513100736202,21869
conditional_surface,test,medium,deep_otm,0.6658253274871951,0.002054419526701557,0.9686734562330798,7757
conditional_surface,test,long,deep_itm,0.04780606365784963,0.0014053225974626049,0.0062252180808881835,25220
conditional_surface,test,long,itm,0.04407964166294058,0.0013990835092922234,0.0,12592
conditional_surface,test,long,atm,0.034214833751291834,0.0010900556589325567,0.0,13878
conditional_surface,test,long,otm,0.025345722813402406,0.0007997255573043686,0.0012988619495299357,16168
conditional_surface,test,long,deep_otm,0.2095201262299578,0.0006143134543309232,0.3350397891428861,19729
