model,split,maturity,moneyness,mean_risk_score,mean_instability,flag_fraction,n_points
interp_rbf,train,short,deep_itm,0.13205238132668234,0.010387155219216498,0.12837557125051932,2407
interp_rbf,train,short,itm,0.24516881279002573,0.020467178891904244,0.1807465618860511,1527
interp_rbf,train,short,atm,0.23963414936612504,0.011090767099376016,0.37232620320855614,1496
interp_rbf,train,short,otm,0.22139081721515663,0.012177805770781194,0.281786941580756,1746
interp_rbf,train,short,deep_otm,0.05610366706917846,0.0026032986786757827,0.09968520461699895,953
interp_rbf,train,medium,deep_itm,0.3755138169668929,0.02733177363077916,0.35208772669759597,11855
interp_rbf,train,medium,itm,0.18344935791524392,0.011972116091852359,0.19245534969120348,5991
interp_rbf,train,medium,atm,0.2367264531240669,0.005954779949478589,0.4837100545596259,6415
interp_rbf,train,medium,otm,0.31751705063268304,0.007990250540922436,0.5835371689886206,9403
interp_rbf,train,medium,deep_otm,0.18584414948050385,0.006232577222186782,0.36784140969163,3178
interp_rbf,train,long,deep_itm,0.39862520829362214,0.030982031866933085,0.3240967707556219,9383
interp_rbf,train,long,itm,0.2174971253266143,0.011515240669063615,0.3118604651162791,4300
interp_rbf,train,long,atm,0.1901104075970939,0.00457033149249756,0.4122160834868017,6516
interp_rbf,train,long,otm,0.28961994115505085,0.0038912177978408166,0.6265504525645323,8949
interp_rbf,train,long,deep_otm,0.2898983313308009,0.01165362250317191,0.47073279714030386,4476
interp_rbf,val,short,deep_itm,0.3216600803985075,0.031423467421336344,0.4557443491816056,32075
interp_rbf,val,short,itm,0.198018797924577,0.0085260608453454,0.4589955499046408,36179
interp_rbf,val,short,atm,0.18152220264693592,0.00267284562879132,0.4887088084762503,44548
interp_rbf,val,short,otm,0.3693357033571569,0.007636894688110365,0.6419638002019731,25746
interp_rbf,val,short,deep_otm,0.5851227518302791,0.020758823568291278,0.7273936170212766,1504
interp_rbf,val,medium,deep_itm,0.22593094722537757,0.01248225702112374,0.48511574653833767,55898
interp_rbf,val,medium,itm,0.1707176013103496,0.002503970764674117,0.4684338652961861,36970
interp_rbf,val,medium,atm,0.15687507164147935,0.001944023175886517,0.4382726951607206,33972
interp_rbf,val,medium,otm,0.24925162981926413,0.005218872469240473,0.5535623409669211,23580
interp_rbf,val,medium,deep_otm,0.5289776216451204,0.01708651787367064,0.8321812596006144,7812
interp_rbf,val,long,deep_itm,0.31369559018143395,0.017890494179353168,0.5850816511680653,35272
interp_rbf,val,long,itm,0.19799273428560013,0.0035591428709348615,0.4944427978660344,26992
interp_rbf,val,long,atm,0.20792397420361175,0.003146060972604939,0.530304462934947,21152
interp_rbf,val,long,otm,0.24676725984954964,0.004833164645691691,0.5657804655408489,17528
interp_rbf,val,long,deep_otm,0.4063786864554414,0.010921709945153577,0.7359607678966569,16721
interp_rbf,test,short,deep_itm,0.32156154194326575,0.040487505474938984,0.40855771794188217,7502
interp_rbf,test,short,itm,0.16345839635518405,0.012078272941598928,0.3091793197149191,41953
interp_rbf,test,short,atm,0.09176414216167987,0.0030012569624715294,0.19785620386287794,49445
interp_rbf,test,short,otm,0.47533907532925446,0.007874343247107222,0.7478997871784341,26783
interp_rbf,test,short,deep_otm,0.5729249672963063,0.02159004174275221,0.8773841961852861,1101
interp_rbf,test,medium,deep_itm,0.34368475188592723,0.04273762065850948,0.4519940915805022,23018
interp_rbf,test,medium,itm,0.11305411188454005,0.005522461167349098,0.2526278906797477,22832
interp_rbf,test,medium,atm,0.06290105986540592,0.0023014854808789936,0.15404481049766175,28654
interp_rbf,test,medium,otm,0.2920836554848379,0.01184320528365302,0.5439663450546436,21869
interp_rbf,test,medium,deep_otm,0.6554374193227243,0.026805102157424317,0.8995745778006962,7757
interp_rbf,test,long,deep_itm,0.3994357058300611,0.0482244020937517,0.5209357652656622,25220
interp_rbf,test,long,itm,0.14188573470704308,0.006851242314069136,0.3072585768742058,12592
interp_rbf,test,long,atm,0.10349641957957986,0.004578703159998705,0.2340394869577749,13878
interp_rbf,test,long,otm,0.26824927705944007,0.011922651044778508,0.5123082632360217,16168
interp_rbf,test,long,deep_otm,0.5696680018942886,0.03481886718912821,0.8033858786557859,19729
