model,split,maturity,moneyness,mean_risk_score,mean_instability,flag_fraction,n_points
conditional_surface,train,short,deep_itm,0.5427394938601207,0.002690187667895873,0.0,5
conditional_surface,train,short,itm,0.5419405096124054,0.0027428322517166572,0.0,10
conditional_surface,train,short,atm,0.5960574546226891,0.0030448477997584334,0.0,5
conditional_surface,train,short,otm,0.7269573279169965,0.003689829148182331,0.0,10
conditional_surface,train,short,deep_otm,0.9137507163101957,0.00458080010241237,0.0,5
conditional_surface,train,medium,deep_itm,0.5202631136718282,0.0025798419571577934,0.0,10
conditional_surface,train,medium,itm,0.5050234731065187,0.0025650291268409955,0.0,20
conditional_surface,train,medium,atm,0.5376369647995716,0.0027719003241647696,0.0,10
conditional_surface,train,medium,otm,0.6505182424229787,0.003341048888443168,0.0,20
conditional_surface,train,medium,deep_otm,0.8289490167687426,0.004200476708948622,0.0,10
conditional_surface,train,long,deep_itm,0.6838774740901622,0.0032320147752595597,0.0,10
conditional_surface,train,long,itm,0.6667919390230035,0.0031918415977069173,0.0,20
conditional_surface,train,long,atm,0.6566844140903279,0.0031966215429983687,0.0,10
conditional_surface,train,long,otm,0.6764342106548807,0.003352672976757602,0.0,20
conditional_surface,train,long,deep_otm,0.7423408753006304,0.0037248310873458134,0.0,10
conditional_surface,val,short,deep_itm,0.7612231972764633,0.003387692186560173,0.0,1
conditional_surface,val,short,itm,0.6468689287306539,0.002878778291872665,0.0,2
conditional_surface,val,short,atm,0.5450868936546663,0.002425814947885279,0.0,1
conditional_surface,val,short,otm,0.47621419174881263,0.0021193088995297782,0.0,2
conditional_surface,val,short,deep_otm,0.45614239762848213,0.002029982851197343,0.0,1
conditional_surface,val,medium,deep_itm,0.7455274794719335,0.0033178411090324512,0.0,2
conditional_surface,val,medium,itm,0.6443215324110249,0.0028674415451222304,0.0,4
conditional_surface,val,medium,atm,0.5476827223577527,0.0024373672345819504,0.0,2
conditional_surface,val,medium,otm,0.4703756833085537,0.0020933256274815837,0.0,4
conditional_surface,val,medium,deep_otm,0.43142616506832954,0.0019199875328402445,0.0,2
conditional_surface,val,long,deep_itm,0.8863874334216268,0.003944713972473703,0.0,2
conditional_surface,val,long,itm,0.8425943682552215,0.0037498205099248064,0.0,4
conditional_surface,val,long,atm,0.7914645160201434,0.0035222759454180018,0.0,2
conditional_surface,val,long,otm,0.7309700209674129,0.0032530556576584203,0.0,4
conditional_surface,val,long,deep_otm,0.6685157340816444,0.0029751136552902705,0.0,2
conditional_surface,test,short,deep_itm,0.659816023498959,0.0031035033586823287,0.0,2
conditional_surface,test,short,itm,0.5550763434214613,0.002616992350053845,0.0,4
conditional_surface,test,short,atm,0.5078178016196351,0.0023226175496123165,0.0,2
conditional_surface,test,short,otm,0.5637396226447958,0.0023953947183198,0.0,4
conditional_surface,test,short,deep_otm,0.6994825120527497,0.0027958657751352726,0.0,2
conditional_surface,test,medium,deep_itm,0.6473534032423904,0.0030548469253124013,0.0,4
conditional_surface,test,medium,itm,0.5496651518548754,0.002619565023213343,0.0,8
conditional_surface,test,medium,atm,0.48927652486630263,0.002300923713113838,0.0,4
conditional_surface,test,medium,otm,0.5207287784698125,0.002288845311452195,0.0,8
conditional_surface,test,medium,deep_otm,0.637491128580654,0.0025990163799825476,0.0,4
conditional_surface,test,long,deep_itm,0.8468139153476149,0.00401023112153793,0.0,4
conditional_surface,test,long,itm,0.8074809306446817,0.003855598507625418,0.0,8
conditional_surface,test,long,atm,0.7603705326222586,0.0036629860788711536,0.0,4
conditional_surface,test,long,otm,0.7202616350826317,0.003469796640911596,0.0,8
conditional_surface,test,long,deep_otm,0.7145266425745339,0.003369765886085006,0.0,4
