regime,rung_index,intensity,mae_overall,rmse_overall,mae_query_fixed,n_overall,n_query,n_retained_context,retained_frac_of_base,n_nonfinite
fewer_quotes,0,0.0,0.0061318470356350055,0.010040897291445881,0.006523754441402371,2769021,1661166,1107855,1.0,0
fewer_quotes,1,0.2,0.0065025914883256345,0.010819795033937235,0.006855499407488115,2769021,1661166,885873,0.7996290128220751,0
fewer_quotes,2,0.4,0.0070112090768590105,0.011772058811743702,0.0073186836718344556,2769021,1661166,664187,0.5995252086238723,0
fewer_quotes,3,0.6,0.007794864845026666,0.013488653437091056,0.008053448670481548,2769021,1661166,443120,0.3999801418055612,0
fewer_quotes,4,0.8,0.009413942803555862,0.01696564552213188,0.009615551756689374,2769021,1661166,221526,0.19995938096592064,0
thin_wings,0,0.0,0.0061318470356350055,0.010040897291445881,0.006523754441402371,2769021,1661166,1107855,1.0,0
thin_wings,1,0.2,0.017256803525780514,0.05316233492172907,0.01755902144353701,2769021,1661166,888345,0.8018603517608351,0
thin_wings,2,0.4,0.040088510397454376,0.10541401241291722,0.040323191657339615,2769021,1661166,667202,0.60224668390719,0
thin_wings,3,0.6,0.05944310099304758,0.12160895237409292,0.05963286231226842,2769021,1661166,446111,0.40267995360403663,0
thin_wings,4,0.8,0.08668690138313694,0.15891051488526967,0.08673425427808226,2769021,1661166,224539,0.20267905095883487,0
missing_maturities,0,0.0,0.0061318470356350055,0.010040897291445881,0.006523754441402371,2769021,1661166,1107855,1.0,0
missing_maturities,1,0.2,0.007170046771334914,0.014621962234338606,0.007512631634673004,2769021,1661166,887293,0.8009107690085796,0
missing_maturities,2,0.4,0.009027691663091942,0.020796513478446826,0.009316846218137269,2769021,1661166,667832,0.6028153503843012,0
missing_maturities,3,0.6,0.013766014491598791,0.03278090153472492,0.013987344496177452,2769021,1661166,445340,0.4019840141534768,0
missing_maturities,4,0.8,0.030274392715916143,0.06140251462779186,0.030365132737038517,2769021,1661166,223560,0.20179536130630812,0
combined_quotes_wings,0,0.0,0.0061318470356350055,0.010040897291445881,0.006523754441402371,2769021,1661166,1107855,1.0,0
combined_quotes_wings,1,0.2,0.01738275028972046,0.052256936510181665,0.017663114003299417,2769021,1661166,710488,0.6413185841107365,0
combined_quotes_wings,2,0.4,0.039226457713757566,0.09877671292528993,0.039419516395607763,2769021,1661166,399751,0.3608333220502683,0
combined_quotes_wings,3,0.6,0.06058674239944196,0.11888371743342903,0.06070552327909947,2769021,1661166,178339,0.16097684263734874,0
combined_quotes_wings,4,0.8,0.08851511939643301,0.15818536976099973,0.08851900871654664,2769021,1661166,44751,0.04039427542413041,0
