regime,rung_index,intensity,hybrid_mae_overall,hybrid_mae_query_fixed,n_overall,n_query,n_retained_context,n_nonfinite
fewer_quotes,0,0.0,0.006006204533051596,0.006363696709195751,2769021,1661166,1107855,0
fewer_quotes,1,0.2,0.006332778328500275,0.006654377224236133,2769021,1661166,885873,0
fewer_quotes,2,0.4,0.0067879685815830405,0.0070691257883328685,2769021,1661166,664187,0
fewer_quotes,3,0.6,0.007498795316057373,0.007735924191427339,2769021,1661166,443120,0
fewer_quotes,4,0.8,0.009007420408545058,0.009195342805358856,2769021,1661166,221526,0
thin_wings,0,0.0,0.006006204533051596,0.006363696709195751,2769021,1661166,1107855,0
thin_wings,1,0.2,0.017123523255597923,0.017401661294636647,2769021,1661166,888345,0
thin_wings,2,0.4,0.040024201268535266,0.04024448456869976,2769021,1661166,667202,0
thin_wings,3,0.6,0.05937861743413959,0.059561264365901256,2769021,1661166,446111,0
thin_wings,4,0.8,0.08641871036754838,0.08646196652059362,2769021,1661166,224539,0
missing_maturities,0,0.0,0.006006204533051596,0.006363696709195751,2769021,1661166,1107855,0
missing_maturities,1,0.2,0.006974068399315782,0.007287846483766958,2769021,1661166,887293,0
missing_maturities,2,0.4,0.008747715991153522,0.00901390397801552,2769021,1661166,667832,0
missing_maturities,3,0.6,0.013423846665202858,0.013627959947863246,2769021,1661166,445340,0
missing_maturities,4,0.8,0.02980257985232172,0.029888232478704407,2769021,1661166,223560,0
combined_quotes_wings,0,0.0,0.006006204533051596,0.006363696709195751,2769021,1661166,1107855,0
combined_quotes_wings,1,0.2,0.017215904499014764,0.017474882629240875,2769021,1661166,710488,0
combined_quotes_wings,2,0.4,0.039107828997102315,0.039288371311777245,2769021,1661166,399751,0
combined_quotes_wings,3,0.6,0.06043132497926706,0.06054413049280972,2769021,1661166,178339,0
combined_quotes_wings,4,0.8,0.08810472056428983,0.0881057079424765,2769021,1661166,44751,0
