dataset,predictor,split,maturity,moneyness,mean_tradability,abstain_rate,n_points
spy_phase1_random40_noiselow,conditional_calibrated,train,short,deep_itm,0.10349667859709133,1.0,460.0
spy_phase1_random40_noiselow,conditional_calibrated,train,short,itm,0.11203262720344766,1.0,284.0
spy_phase1_random40_noiselow,conditional_calibrated,train,short,atm,0.14905195314909372,1.0,284.0
spy_phase1_random40_noiselow,conditional_calibrated,train,short,otm,0.1881042539067207,1.0,311.0
spy_phase1_random40_noiselow,conditional_calibrated,train,short,deep_otm,0.1966569018077392,1.0,130.0
spy_phase1_random40_noiselow,conditional_calibrated,train,medium,deep_itm,0.1331210822230088,1.0,2311.0
spy_phase1_random40_noiselow,conditional_calibrated,train,medium,itm,0.17378095413204475,1.0,1148.0
spy_phase1_random40_noiselow,conditional_calibrated,train,medium,atm,0.2704537119377743,1.0,1342.0
spy_phase1_random40_noiselow,conditional_calibrated,train,medium,otm,0.3890240321035687,1.0,1735.0
spy_phase1_random40_noiselow,conditional_calibrated,train,medium,deep_otm,0.4144944445251189,1.0,485.0
spy_phase1_random40_noiselow,conditional_calibrated,train,long,deep_itm,0.17149128444440043,1.0,1553.0
spy_phase1_random40_noiselow,conditional_calibrated,train,long,itm,0.22872909632112298,1.0,560.0
spy_phase1_random40_noiselow,conditional_calibrated,train,long,atm,0.3114570904811625,1.0,1188.0
spy_phase1_random40_noiselow,conditional_calibrated,train,long,otm,0.4153024001541685,1.0,1220.0
spy_phase1_random40_noiselow,conditional_calibrated,train,long,deep_otm,0.4907618919180499,1.0,576.0
spy_phase1_random40_noiselow,conditional_calibrated,val,short,deep_itm,0.14771274794867925,1.0,6036.0
spy_phase1_random40_noiselow,conditional_calibrated,val,short,itm,0.3001059224040361,1.0,8594.0
spy_phase1_random40_noiselow,conditional_calibrated,val,short,atm,0.4500626860199288,1.0,8928.0
spy_phase1_random40_noiselow,conditional_calibrated,val,short,otm,0.29387537665224933,1.0,5447.0
spy_phase1_random40_noiselow,conditional_calibrated,val,short,deep_otm,0.043551293547724405,1.0,239.0
spy_phase1_random40_noiselow,conditional_calibrated,val,medium,deep_itm,0.3253838270104523,1.0,11922.0
spy_phase1_random40_noiselow,conditional_calibrated,val,medium,itm,0.46083550741215085,1.0,7276.0
spy_phase1_random40_noiselow,conditional_calibrated,val,medium,atm,0.504430063533698,1.0,6732.0
spy_phase1_random40_noiselow,conditional_calibrated,val,medium,otm,0.45396650182085135,1.0,4931.0
spy_phase1_random40_noiselow,conditional_calibrated,val,medium,deep_otm,0.2675181329739589,1.0,1658.0
spy_phase1_random40_noiselow,conditional_calibrated,val,long,deep_itm,0.35491894058621315,1.0,7134.0
spy_phase1_random40_noiselow,conditional_calibrated,val,long,itm,0.4831347567951864,1.0,5956.0
spy_phase1_random40_noiselow,conditional_calibrated,val,long,atm,0.5223468805047182,1.0,4680.0
spy_phase1_random40_noiselow,conditional_calibrated,val,long,otm,0.49925935029794893,1.0,3792.0
spy_phase1_random40_noiselow,conditional_calibrated,val,long,deep_otm,0.3918128984742583,1.0,3346.0
spy_phase1_random40_noiselow,conditional_calibrated,test,short,deep_itm,0.08867150982038373,1.0,1683.0
spy_phase1_random40_noiselow,conditional_calibrated,test,short,itm,0.19222654569379646,1.0,9383.0
spy_phase1_random40_noiselow,conditional_calibrated,test,short,atm,0.3577172412043461,1.0,9654.0
spy_phase1_random40_noiselow,conditional_calibrated,test,short,otm,0.1153221167498176,1.0,5051.0
spy_phase1_random40_noiselow,conditional_calibrated,test,short,deep_otm,0.041418744341221315,1.0,251.0
spy_phase1_random40_noiselow,conditional_calibrated,test,medium,deep_itm,0.11208095965411756,1.0,5286.0
spy_phase1_random40_noiselow,conditional_calibrated,test,medium,itm,0.3226247425280739,1.0,5112.0
spy_phase1_random40_noiselow,conditional_calibrated,test,medium,atm,0.45855615155055995,1.0,4494.0
spy_phase1_random40_noiselow,conditional_calibrated,test,medium,otm,0.3852639793793295,1.0,3696.0
spy_phase1_random40_noiselow,conditional_calibrated,test,medium,deep_otm,0.223372218073852,1.0,1306.0
spy_phase1_random40_noiselow,conditional_calibrated,test,long,deep_itm,0.16700939704878504,1.0,5511.0
spy_phase1_random40_noiselow,conditional_calibrated,test,long,itm,0.4001036363263284,1.0,2790.0
spy_phase1_random40_noiselow,conditional_calibrated,test,long,atm,0.4430244344404834,1.0,2978.0
spy_phase1_random40_noiselow,conditional_calibrated,test,long,otm,0.44151152403282146,1.0,3354.0
spy_phase1_random40_noiselow,conditional_calibrated,test,long,deep_otm,0.286904534304914,1.0,4061.0
