dataset,predictor,split,maturity,moneyness,mean_tradability,abstain_rate,n_points
spy_phase1_random40_noiselow,conditional_point,train,short,deep_itm,0.9999999999999999,0.0,460.0
spy_phase1_random40_noiselow,conditional_point,train,short,itm,0.9999999999999998,0.0,284.0
spy_phase1_random40_noiselow,conditional_point,train,short,atm,0.9954225352112676,0.045774647887323945,284.0
spy_phase1_random40_noiselow,conditional_point,train,short,otm,0.9887459807073955,0.11254019292604502,311.0
spy_phase1_random40_noiselow,conditional_point,train,short,deep_otm,0.9999999999999998,0.0,130.0
spy_phase1_random40_noiselow,conditional_point,train,medium,deep_itm,0.9893119861531805,0.10688013846819559,2311.0
spy_phase1_random40_noiselow,conditional_point,train,medium,itm,0.9494773519163763,0.5052264808362369,1148.0
spy_phase1_random40_noiselow,conditional_point,train,medium,atm,0.9868852459016393,0.13114754098360656,1342.0
spy_phase1_random40_noiselow,conditional_point,train,medium,otm,0.997579250720461,0.02420749279538905,1735.0
spy_phase1_random40_noiselow,conditional_point,train,medium,deep_otm,0.9999999999999999,0.0,485.0
spy_phase1_random40_noiselow,conditional_point,train,long,deep_itm,0.965164198325821,0.34835801674179007,1553.0
spy_phase1_random40_noiselow,conditional_point,train,long,itm,0.9587500000000002,0.4125,560.0
spy_phase1_random40_noiselow,conditional_point,train,long,atm,0.9994107744107742,0.005892255892255892,1188.0
spy_phase1_random40_noiselow,conditional_point,train,long,otm,0.9995081967213112,0.004918032786885246,1220.0
spy_phase1_random40_noiselow,conditional_point,train,long,deep_otm,0.9999999999999998,0.0,576.0
spy_phase1_random40_noiselow,conditional_point,val,short,deep_itm,0.9875248508946322,0.12475149105367793,6036.0
spy_phase1_random40_noiselow,conditional_point,val,short,itm,0.9988131254363508,0.011868745636490576,8594.0
spy_phase1_random40_noiselow,conditional_point,val,short,atm,0.999899193548387,0.0010080645161290322,8928.0
spy_phase1_random40_noiselow,conditional_point,val,short,otm,0.9935010097301264,0.06498990269873325,5447.0
spy_phase1_random40_noiselow,conditional_point,val,short,deep_otm,0.9627615062761508,0.3723849372384937,239.0
spy_phase1_random40_noiselow,conditional_point,val,medium,deep_itm,0.9985153497735277,0.014846502264720684,11922.0
spy_phase1_random40_noiselow,conditional_point,val,medium,itm,0.9998763056624518,0.0012369433754810335,7276.0
spy_phase1_random40_noiselow,conditional_point,val,medium,atm,0.9998663101604276,0.001336898395721925,6732.0
spy_phase1_random40_noiselow,conditional_point,val,medium,otm,0.9990874062056379,0.009125937943621983,4931.0
spy_phase1_random40_noiselow,conditional_point,val,medium,deep_otm,0.986369119420989,0.13630880579010857,1658.0
spy_phase1_random40_noiselow,conditional_point,val,long,deep_itm,0.9942668909447713,0.05733109055228483,7134.0
spy_phase1_random40_noiselow,conditional_point,val,long,itm,0.9999999999999999,0.0,5956.0
spy_phase1_random40_noiselow,conditional_point,val,long,atm,0.9999358974358972,0.000641025641025641,4680.0
spy_phase1_random40_noiselow,conditional_point,val,long,otm,0.9999999999999999,0.0,3792.0
spy_phase1_random40_noiselow,conditional_point,val,long,deep_otm,0.9988643156007171,0.011356843992827256,3346.0
spy_phase1_random40_noiselow,conditional_point,test,short,deep_itm,0.9699940582293524,0.30005941770647654,1683.0
spy_phase1_random40_noiselow,conditional_point,test,short,itm,0.9897474155387402,0.10252584461259726,9383.0
spy_phase1_random40_noiselow,conditional_point,test,short,atm,0.999637455976797,0.003625440232028175,9654.0
spy_phase1_random40_noiselow,conditional_point,test,short,otm,0.9610968125123738,0.3890318748762621,5051.0
spy_phase1_random40_noiselow,conditional_point,test,short,deep_otm,0.9135458167330679,0.8645418326693227,251.0
spy_phase1_random40_noiselow,conditional_point,test,medium,deep_itm,0.9894248959515701,0.10575104048429815,5286.0
spy_phase1_random40_noiselow,conditional_point,test,medium,itm,0.9986697965571203,0.013302034428794992,5112.0
spy_phase1_random40_noiselow,conditional_point,test,medium,atm,0.9997997329773027,0.0020026702269692926,4494.0
spy_phase1_random40_noiselow,conditional_point,test,medium,otm,0.9952651515151514,0.04734848484848485,3696.0
spy_phase1_random40_noiselow,conditional_point,test,medium,deep_otm,0.9334609494640124,0.6653905053598775,1306.0
spy_phase1_random40_noiselow,conditional_point,test,long,deep_itm,0.9999455634186171,0.0005443658138268917,5511.0
spy_phase1_random40_noiselow,conditional_point,test,long,itm,0.999784946236559,0.002150537634408602,2790.0
spy_phase1_random40_noiselow,conditional_point,test,long,atm,0.9997985224983209,0.0020147750167897917,2978.0
spy_phase1_random40_noiselow,conditional_point,test,long,otm,0.9999105545617173,0.0008944543828264759,3354.0
spy_phase1_random40_noiselow,conditional_point,test,long,deep_otm,0.9754247722235903,0.24575227776409753,4061.0
