dataset,predictor,split,maturity,moneyness,mean_tradability,abstain_rate,n_points
spy_phase1_random40_noiselow,interpolation,train,short,deep_itm,0.9832608695652173,0.1673913043478261,460.0
spy_phase1_random40_noiselow,interpolation,train,short,itm,0.9739436619718309,0.2605633802816901,284.0
spy_phase1_random40_noiselow,interpolation,train,short,atm,0.9679577464788731,0.3204225352112676,284.0
spy_phase1_random40_noiselow,interpolation,train,short,otm,0.9807073954983921,0.19292604501607716,311.0
spy_phase1_random40_noiselow,interpolation,train,short,deep_otm,0.9746153846153846,0.25384615384615383,130.0
spy_phase1_random40_noiselow,interpolation,train,medium,deep_itm,0.9714409346603202,0.2855906533967979,2311.0
spy_phase1_random40_noiselow,interpolation,train,medium,itm,0.982404181184669,0.1759581881533101,1148.0
spy_phase1_random40_noiselow,interpolation,train,medium,atm,0.9552906110283159,0.44709388971684055,1342.0
spy_phase1_random40_noiselow,interpolation,train,medium,otm,0.9515850144092219,0.484149855907781,1735.0
spy_phase1_random40_noiselow,interpolation,train,medium,deep_otm,0.9618556701030929,0.38144329896907214,485.0
spy_phase1_random40_noiselow,interpolation,train,long,deep_itm,0.9701867353509337,0.29813264649066323,1553.0
spy_phase1_random40_noiselow,interpolation,train,long,itm,0.9678571428571429,0.32142857142857145,560.0
spy_phase1_random40_noiselow,interpolation,train,long,atm,0.9624579124579123,0.37542087542087543,1188.0
spy_phase1_random40_noiselow,interpolation,train,long,otm,0.952950819672131,0.4704918032786885,1220.0
spy_phase1_random40_noiselow,interpolation,train,long,deep_otm,0.9661458333333334,0.3385416666666667,576.0
spy_phase1_random40_noiselow,interpolation,val,short,deep_itm,0.9539098740888005,0.4609012591119947,6036.0
spy_phase1_random40_noiselow,interpolation,val,short,itm,0.9660228066092623,0.33977193390737725,8594.0
spy_phase1_random40_noiselow,interpolation,val,short,atm,0.9657594086021505,0.3424059139784946,8928.0
spy_phase1_random40_noiselow,interpolation,val,short,otm,0.961428309161006,0.38571690838993944,5447.0
spy_phase1_random40_noiselow,interpolation,val,short,deep_otm,0.9426778242677827,0.5732217573221757,239.0
spy_phase1_random40_noiselow,interpolation,val,medium,deep_itm,0.9645277637980205,0.35472236201979535,11922.0
spy_phase1_random40_noiselow,interpolation,val,medium,itm,0.9637713029136888,0.3622869708631116,7276.0
spy_phase1_random40_noiselow,interpolation,val,medium,atm,0.9664438502673798,0.3355614973262032,6732.0
spy_phase1_random40_noiselow,interpolation,val,medium,otm,0.9597850334617725,0.4021496653822754,4931.0
spy_phase1_random40_noiselow,interpolation,val,medium,deep_otm,0.9337153196622437,0.6628468033775633,1658.0
spy_phase1_random40_noiselow,interpolation,val,long,deep_itm,0.9522007289038409,0.47799271096159235,7134.0
spy_phase1_random40_noiselow,interpolation,val,long,itm,0.9597548690396238,0.4024513096037609,5956.0
spy_phase1_random40_noiselow,interpolation,val,long,atm,0.9655982905982906,0.344017094017094,4680.0
spy_phase1_random40_noiselow,interpolation,val,long,otm,0.962473628691983,0.37526371308016876,3792.0
spy_phase1_random40_noiselow,interpolation,val,long,deep_otm,0.9530484160191275,0.46951583980872685,3346.0
spy_phase1_random40_noiselow,interpolation,test,short,deep_itm,0.9398098633392753,0.6019013666072489,1683.0
spy_phase1_random40_noiselow,interpolation,test,short,itm,0.9485239262496004,0.5147607375039965,9383.0
spy_phase1_random40_noiselow,interpolation,test,short,atm,0.9521959809405428,0.4780401905945722,9654.0
spy_phase1_random40_noiselow,interpolation,test,short,otm,0.92391605622649,0.760839437735102,5051.0
spy_phase1_random40_noiselow,interpolation,test,short,deep_otm,0.9286852589641436,0.7131474103585658,251.0
spy_phase1_random40_noiselow,interpolation,test,medium,deep_itm,0.9454029511918274,0.5459704880817253,5286.0
spy_phase1_random40_noiselow,interpolation,test,medium,itm,0.9414906103286386,0.585093896713615,5112.0
spy_phase1_random40_noiselow,interpolation,test,medium,atm,0.9501557632398754,0.4984423676012461,4494.0
spy_phase1_random40_noiselow,interpolation,test,medium,otm,0.9457251082251084,0.5427489177489178,3696.0
spy_phase1_random40_noiselow,interpolation,test,medium,deep_otm,0.922894333843798,0.7710566615620215,1306.0
spy_phase1_random40_noiselow,interpolation,test,long,deep_itm,0.9373072037742697,0.6269279622573036,5511.0
spy_phase1_random40_noiselow,interpolation,test,long,itm,0.9465591397849461,0.5344086021505376,2790.0
spy_phase1_random40_noiselow,interpolation,test,long,atm,0.9507723304231028,0.4922766957689725,2978.0
spy_phase1_random40_noiselow,interpolation,test,long,otm,0.9422778771615983,0.5772212283840191,3354.0
spy_phase1_random40_noiselow,interpolation,test,long,deep_otm,0.9309283427727162,0.6907165722728392,4061.0
