dataset,predictor,split,maturity,moneyness,mean_tradability,abstain_rate,n_points
spy_phase1_random40_noiselow,masked_mlp,train,short,deep_itm,0.9999999999999999,0.0,460.0
spy_phase1_random40_noiselow,masked_mlp,train,short,itm,0.9999999999999998,0.0,284.0
spy_phase1_random40_noiselow,masked_mlp,train,short,atm,0.9999999999999998,0.0,284.0
spy_phase1_random40_noiselow,masked_mlp,train,short,otm,0.9999999999999998,0.0,311.0
spy_phase1_random40_noiselow,masked_mlp,train,short,deep_otm,0.9869230769230768,0.13076923076923078,130.0
spy_phase1_random40_noiselow,masked_mlp,train,medium,deep_itm,0.9999999999999998,0.0,2311.0
spy_phase1_random40_noiselow,masked_mlp,train,medium,itm,0.9998257839721252,0.0017421602787456446,1148.0
spy_phase1_random40_noiselow,masked_mlp,train,medium,atm,0.9999254843517136,0.0007451564828614009,1342.0
spy_phase1_random40_noiselow,masked_mlp,train,medium,otm,0.9938328530259365,0.061671469740634005,1735.0
spy_phase1_random40_noiselow,masked_mlp,train,medium,deep_otm,0.9682474226804124,0.31752577319587627,485.0
spy_phase1_random40_noiselow,masked_mlp,train,long,deep_itm,0.9999999999999999,0.0,1553.0
spy_phase1_random40_noiselow,masked_mlp,train,long,itm,0.9999999999999998,0.0,560.0
spy_phase1_random40_noiselow,masked_mlp,train,long,atm,0.9999999999999998,0.0,1188.0
spy_phase1_random40_noiselow,masked_mlp,train,long,otm,0.9997540983606555,0.002459016393442623,1220.0
spy_phase1_random40_noiselow,masked_mlp,train,long,deep_otm,0.9999999999999998,0.0,576.0
spy_phase1_random40_noiselow,masked_mlp,val,short,deep_itm,0.9979622266401589,0.020377733598409543,6036.0
spy_phase1_random40_noiselow,masked_mlp,val,short,itm,0.9999999999999998,0.0,8594.0
spy_phase1_random40_noiselow,masked_mlp,val,short,atm,0.999899193548387,0.0010080645161290322,8928.0
spy_phase1_random40_noiselow,masked_mlp,val,short,otm,0.9987148889296859,0.012851110703139343,5447.0
spy_phase1_random40_noiselow,masked_mlp,val,short,deep_otm,0.9912133891213388,0.08786610878661087,239.0
spy_phase1_random40_noiselow,masked_mlp,val,medium,deep_itm,0.9999748364368393,0.0002516356316054353,11922.0
spy_phase1_random40_noiselow,masked_mlp,val,medium,itm,0.9999312809235843,0.0006871907641561297,7276.0
spy_phase1_random40_noiselow,masked_mlp,val,medium,atm,0.999896019013666,0.0010398098633392751,6732.0
spy_phase1_random40_noiselow,masked_mlp,val,medium,otm,0.9999999999999998,0.0,4931.0
spy_phase1_random40_noiselow,masked_mlp,val,medium,deep_otm,0.9999999999999999,0.0,1658.0
spy_phase1_random40_noiselow,masked_mlp,val,long,deep_itm,0.9999999999999999,0.0,7134.0
spy_phase1_random40_noiselow,masked_mlp,val,long,itm,0.9999999999999999,0.0,5956.0
spy_phase1_random40_noiselow,masked_mlp,val,long,atm,0.9999358974358972,0.000641025641025641,4680.0
spy_phase1_random40_noiselow,masked_mlp,val,long,otm,0.9999208860759493,0.0007911392405063291,3792.0
spy_phase1_random40_noiselow,masked_mlp,val,long,deep_otm,0.9998206814106395,0.0017931858936043037,3346.0
spy_phase1_random40_noiselow,masked_mlp,test,short,deep_itm,0.9999999999999999,0.0,1683.0
spy_phase1_random40_noiselow,masked_mlp,test,short,itm,0.9999360545667695,0.0006394543323031014,9383.0
spy_phase1_random40_noiselow,masked_mlp,test,short,atm,0.9999999999999998,0.0,9654.0
spy_phase1_random40_noiselow,masked_mlp,test,short,otm,0.994238764601069,0.05761235398930905,5051.0
spy_phase1_random40_noiselow,masked_mlp,test,short,deep_otm,0.9864541832669321,0.13545816733067728,251.0
spy_phase1_random40_noiselow,masked_mlp,test,medium,deep_itm,0.9999432463110101,0.0005675368898978433,5286.0
spy_phase1_random40_noiselow,masked_mlp,test,medium,itm,0.9999413145539904,0.0005868544600938967,5112.0
spy_phase1_random40_noiselow,masked_mlp,test,medium,atm,0.9999999999999998,0.0,4494.0
spy_phase1_random40_noiselow,masked_mlp,test,medium,otm,0.999323593073593,0.006764069264069264,3696.0
spy_phase1_random40_noiselow,masked_mlp,test,medium,deep_otm,0.9812404287901991,0.18759571209800918,1306.0
spy_phase1_random40_noiselow,masked_mlp,test,long,deep_itm,0.9999999999999999,0.0,5511.0
spy_phase1_random40_noiselow,masked_mlp,test,long,itm,0.9999999999999999,0.0,2790.0
spy_phase1_random40_noiselow,masked_mlp,test,long,atm,0.9999999999999999,0.0,2978.0
spy_phase1_random40_noiselow,masked_mlp,test,long,otm,0.9999105545617173,0.0008944543828264759,3354.0
spy_phase1_random40_noiselow,masked_mlp,test,long,deep_otm,0.9903964540753509,0.09603545924649101,4061.0
