variant,split,metric,value,source,n
3a_fourier,val,mae,0.06202432632341906,artifacts/runs/3A/fourier/predictions_val.parquet,5593759
3a_fourier,val,coverage_90,0.9061566649546396,artifacts/runs/3A/fourier/predictions_val.parquet,5593759
3a_fourier,val,mean_width,0.2408881487783245,artifacts/runs/3A/fourier/predictions_val.parquet,5593759
3a_fourier,val,hi_conf_mae_keep0.8,0.030220482399588678,artifacts/runs/3A/fourier/predictions_val.parquet,5593759
3a_fourier,val,gaussian_nll,-1.6847209610549974,artifacts/runs/3A/fourier/predictions_val.parquet,5593759
3a_fourier,test,mae,0.07904732064704732,artifacts/runs/3A/fourier/predictions_test.parquet,5805664
3a_fourier,test,coverage_90,0.9012173284571756,artifacts/runs/3A/fourier/predictions_test.parquet,5805664
3a_fourier,test,mean_width,0.29467160549427396,artifacts/runs/3A/fourier/predictions_test.parquet,5805664
3a_fourier,test,hi_conf_mae_keep0.8,0.0455119030511719,artifacts/runs/3A/fourier/predictions_test.parquet,5805664
3a_fourier,test,gaussian_nll,-1.4149681158749194,artifacts/runs/3A/fourier/predictions_test.parquet,5805664
3a_raw,val,mae,0.05704726467127037,artifacts/runs/3A/raw/predictions_val.parquet,5593759
3a_raw,val,coverage_90,0.9041617631363811,artifacts/runs/3A/raw/predictions_val.parquet,5593759
3a_raw,val,mean_width,0.21463824749250826,artifacts/runs/3A/raw/predictions_val.parquet,5593759
3a_raw,val,hi_conf_mae_keep0.8,0.02823248789289866,artifacts/runs/3A/raw/predictions_val.parquet,5593759
3a_raw,val,gaussian_nll,-1.7969410813115791,artifacts/runs/3A/raw/predictions_val.parquet,5593759
3a_raw,test,mae,0.07604289814613549,artifacts/runs/3A/raw/predictions_test.parquet,5805664
3a_raw,test,coverage_90,0.8720261799511649,artifacts/runs/3A/raw/predictions_test.parquet,5805664
3a_raw,test,mean_width,0.2595612217002851,artifacts/runs/3A/raw/predictions_test.parquet,5805664
3a_raw,test,hi_conf_mae_keep0.8,0.04362055421344674,artifacts/runs/3A/raw/predictions_test.parquet,5805664
3a_raw,test,gaussian_nll,-1.4300890767149763,artifacts/runs/3A/raw/predictions_test.parquet,5805664
baseline_rbf_2d9,val,mae,0.0358080477572065,results/2D/spy_phase1_random40_noiselow/interpolation/metrics_summary.csv,86671
baseline_rbf_2d9,val,coverage_90,0.0,results/2D/spy_phase1_random40_noiselow/interpolation/metrics_summary.csv,86671
baseline_rbf_2d9,val,mean_width,0.0,results/2D/spy_phase1_random40_noiselow/interpolation/metrics_summary.csv,86671
baseline_rbf_2d9,val,hi_conf_mae_keep0.8,0.0374379672329326,results/2D/spy_phase1_random40_noiselow/interpolation/metrics_summary.csv,86671
baseline_rbf_2d9,test,mae,0.0729689212440884,results/2D/spy_phase1_random40_noiselow/interpolation/metrics_summary.csv,64610
baseline_rbf_2d9,test,coverage_90,0.0,results/2D/spy_phase1_random40_noiselow/interpolation/metrics_summary.csv,64610
baseline_rbf_2d9,test,mean_width,0.0,results/2D/spy_phase1_random40_noiselow/interpolation/metrics_summary.csv,64610
baseline_rbf_2d9,test,hi_conf_mae_keep0.8,0.0741889109435331,results/2D/spy_phase1_random40_noiselow/interpolation/metrics_summary.csv,64610
baseline_2d7_gaussian_calibrated_2d9,val,mae,0.0447926128545215,results/2D/spy_phase1_random40_noiselow/conditional_calibrated/metrics_summary.csv,86671
baseline_2d7_gaussian_calibrated_2d9,val,coverage_90,0.9650055958740524,results/2D/spy_phase1_random40_noiselow/conditional_calibrated/metrics_summary.csv,86671
baseline_2d7_gaussian_calibrated_2d9,val,mean_width,0.2111483338557982,results/2D/spy_phase1_random40_noiselow/conditional_calibrated/metrics_summary.csv,86671
baseline_2d7_gaussian_calibrated_2d9,val,hi_conf_mae_keep0.8,0.0203045404553113,results/2D/spy_phase1_random40_noiselow/conditional_calibrated/metrics_summary.csv,86671
baseline_2d7_gaussian_calibrated_2d9,test,mae,0.0855202579665029,results/2D/spy_phase1_random40_noiselow/conditional_calibrated/metrics_summary.csv,64610
baseline_2d7_gaussian_calibrated_2d9,test,coverage_90,0.9184027240365268,results/2D/spy_phase1_random40_noiselow/conditional_calibrated/metrics_summary.csv,64610
baseline_2d7_gaussian_calibrated_2d9,test,mean_width,0.3657525159340682,results/2D/spy_phase1_random40_noiselow/conditional_calibrated/metrics_summary.csv,64610
baseline_2d7_gaussian_calibrated_2d9,test,hi_conf_mae_keep0.8,0.0606464045644034,results/2D/spy_phase1_random40_noiselow/conditional_calibrated/metrics_summary.csv,64610
