model,split,confidence_source,coverage,retained_mae,n_retained
3a_fourier_gaussian,val,uncertainty,1.78770662089661e-07,0.0024922341108322144,1
3a_fourier_gaussian,val,uncertainty,0.02040828001349361,0.010189913053353912,114159
3a_fourier_gaussian,val,uncertainty,0.04081656002698722,0.01006252125247183,228318
3a_fourier_gaussian,val,uncertainty,0.061224661269818736,0.010144752722540845,342476
3a_fourier_gaussian,val,uncertainty,0.08163276251265025,0.010400437464807046,456634
3a_fourier_gaussian,val,uncertainty,0.10204104252614386,0.010673737328703373,570793
3a_fourier_gaussian,val,uncertainty,0.1224491437689754,0.010910265606130726,684951
3a_fourier_gaussian,val,uncertainty,0.1428572450118069,0.011149609094978563,799109
3a_fourier_gaussian,val,uncertainty,0.1632655250253005,0.011392161482593264,913268
3a_fourier_gaussian,val,uncertainty,0.18367362626813205,0.01162098509833586,1027426
3a_fourier_gaussian,val,uncertainty,0.20408172751096357,0.011842975046502996,1141584
3a_fourier_gaussian,val,uncertainty,0.22449000752445716,0.01208474536426381,1255743
3a_fourier_gaussian,val,uncertainty,0.24489810876728868,0.01233480668299799,1369901
3a_fourier_gaussian,val,uncertainty,0.2653062100101202,0.012581127968617859,1484059
3a_fourier_gaussian,val,uncertainty,0.2857144900236138,0.012830124109870191,1598218
3a_fourier_gaussian,val,uncertainty,0.3061225912664453,0.013077459097716345,1712376
3a_fourier_gaussian,val,uncertainty,0.32653069250927685,0.013332429524628034,1826534
3a_fourier_gaussian,val,uncertainty,0.34693897252277045,0.013596016472817133,1940693
3a_fourier_gaussian,val,uncertainty,0.367347073765602,0.013872955841943436,2054851
3a_fourier_gaussian,val,uncertainty,0.3877551750084335,0.014154710036503843,2169009
3a_fourier_gaussian,val,uncertainty,0.40816345502192714,0.014460562233625554,2283168
3a_fourier_gaussian,val,uncertainty,0.4285715562647586,0.014782891714620989,2397326
3a_fourier_gaussian,val,uncertainty,0.44897965750759017,0.015135990741274209,2511484
3a_fourier_gaussian,val,uncertainty,0.46938793752108376,0.015519410932898733,2625643
3a_fourier_gaussian,val,uncertainty,0.4897960387639153,0.0159358169082286,2739801
3a_fourier_gaussian,val,uncertainty,0.5102041400067469,0.016385904071397523,2853959
3a_fourier_gaussian,val,uncertainty,0.5306122412495783,0.016876751201932265,2968117
3a_fourier_gaussian,val,uncertainty,0.5510205212630719,0.0174372714105092,3082276
3a_fourier_gaussian,val,uncertainty,0.5714286225059034,0.01807064575803025,3196434
3a_fourier_gaussian,val,uncertainty,0.591836723748735,0.018777936897180016,3310592
3a_fourier_gaussian,val,uncertainty,0.6122450037622286,0.019551322226980365,3424751
3a_fourier_gaussian,val,uncertainty,0.6326531050050601,0.020391458219101027,3538909
3a_fourier_gaussian,val,uncertainty,0.6530612062478917,0.021307226616300086,3653067
3a_fourier_gaussian,val,uncertainty,0.6734694862613853,0.02231052734484678,3767226
3a_fourier_gaussian,val,uncertainty,0.6938775875042168,0.023385964993511303,3881384
3a_fourier_gaussian,val,uncertainty,0.7142856887470482,0.024534642318640335,3995542
3a_fourier_gaussian,val,uncertainty,0.7346939687605419,0.02575141085070632,4109701
3a_fourier_gaussian,val,uncertainty,0.7551020700033734,0.027044372027648676,4223859
3a_fourier_gaussian,val,uncertainty,0.7755101712462049,0.028433195070925524,4338017
3a_fourier_gaussian,val,uncertainty,0.7959184512596985,0.02991349263351157,4452176
3a_fourier_gaussian,val,uncertainty,0.8163265525025301,0.03151444558180466,4566334
3a_fourier_gaussian,val,uncertainty,0.8367346537453616,0.03325043290096101,4680492
