variant,split,nominal_coverage,empirical_coverage,n
fourier,val,0.5,0.4615216708478145,5593759
fourier,val,0.6,0.5780302655155505,5593759
fourier,val,0.7,0.699927365479993,5593759
fourier,val,0.8,0.8118515652891016,5593759
fourier,val,0.9,0.9061566649546396,5593759
fourier,val,0.95,0.9475418944577341,5593759
fourier,test,0.5,0.40467739779635886,5805664
fourier,test,0.6,0.5447926369834699,5805664
fourier,test,0.7,0.6885253779757148,5805664
fourier,test,0.8,0.8112829126866453,5805664
fourier,test,0.9,0.9012173284571756,5805664
fourier,test,0.95,0.9378887582884576,5805664
