model,split,confidence_source,coverage,retained_mae,n_retained
3a_raw_gaussian,val,uncertainty,1.78770662089661e-07,0.004197180271148682,1
3a_raw_gaussian,val,uncertainty,0.02040828001349361,0.006938520753129051,114159
3a_raw_gaussian,val,uncertainty,0.04081656002698722,0.007442202064686581,228318
3a_raw_gaussian,val,uncertainty,0.061224661269818736,0.007858632865599511,342476
3a_raw_gaussian,val,uncertainty,0.08163276251265025,0.00828427857329553,456634
3a_raw_gaussian,val,uncertainty,0.10204104252614386,0.008648919529822633,570793
3a_raw_gaussian,val,uncertainty,0.1224491437689754,0.008959034461166651,684951
3a_raw_gaussian,val,uncertainty,0.1428572450118069,0.009251348428592241,799109
3a_raw_gaussian,val,uncertainty,0.1632655250253005,0.009514701001503825,913268
3a_raw_gaussian,val,uncertainty,0.18367362626813205,0.009773941735838095,1027426
3a_raw_gaussian,val,uncertainty,0.20408172751096357,0.010026983067680966,1141584
3a_raw_gaussian,val,uncertainty,0.22449000752445716,0.010273360702080249,1255743
3a_raw_gaussian,val,uncertainty,0.24489810876728868,0.010499607115634729,1369901
3a_raw_gaussian,val,uncertainty,0.2653062100101202,0.0107310434422934,1484059
3a_raw_gaussian,val,uncertainty,0.2857144900236138,0.010965612161388237,1598218
3a_raw_gaussian,val,uncertainty,0.3061225912664453,0.011215457649601994,1712376
3a_raw_gaussian,val,uncertainty,0.32653069250927685,0.011465502018804091,1826534
3a_raw_gaussian,val,uncertainty,0.34693897252277045,0.011724081450247305,1940693
3a_raw_gaussian,val,uncertainty,0.367347073765602,0.011982813569388857,2054851
3a_raw_gaussian,val,uncertainty,0.3877551750084335,0.012238350313911133,2169009
3a_raw_gaussian,val,uncertainty,0.40816345502192714,0.012505759151369426,2283168
3a_raw_gaussian,val,uncertainty,0.4285715562647586,0.012788985037705425,2397326
3a_raw_gaussian,val,uncertainty,0.44897965750759017,0.013094914989284693,2511484
3a_raw_gaussian,val,uncertainty,0.46938793752108376,0.013432038450856009,2625643
3a_raw_gaussian,val,uncertainty,0.4897960387639153,0.013804262086988671,2739801
3a_raw_gaussian,val,uncertainty,0.5102041400067469,0.014208483184229856,2853959
3a_raw_gaussian,val,uncertainty,0.5306122412495783,0.014653843104122596,2968117
3a_raw_gaussian,val,uncertainty,0.5510205212630719,0.015149462098828573,3082276
3a_raw_gaussian,val,uncertainty,0.5714286225059034,0.015707409908113007,3196434
3a_raw_gaussian,val,uncertainty,0.591836723748735,0.016331437712238456,3310592
3a_raw_gaussian,val,uncertainty,0.6122450037622286,0.01702998745778973,3424751
3a_raw_gaussian,val,uncertainty,0.6326531050050601,0.017805015015386692,3538909
3a_raw_gaussian,val,uncertainty,0.6530612062478917,0.01866209833358608,3653067
3a_raw_gaussian,val,uncertainty,0.6734694862613853,0.019603655929796557,3767226
3a_raw_gaussian,val,uncertainty,0.6938775875042168,0.02064172675271523,3881384
3a_raw_gaussian,val,uncertainty,0.7142856887470482,0.0218524737616683,3995542
3a_raw_gaussian,val,uncertainty,0.7346939687605419,0.02325944267069797,4109701
3a_raw_gaussian,val,uncertainty,0.7551020700033734,0.02478451517859953,4223859
3a_raw_gaussian,val,uncertainty,0.7755101712462049,0.026324874232204958,4338017
3a_raw_gaussian,val,uncertainty,0.7959184512596985,0.02790810470212502,4452176
3a_raw_gaussian,val,uncertainty,0.8163265525025301,0.0295063534924171,4566334
3a_raw_gaussian,val,uncertainty,0.8367346537453616,0.03099879986906844,4680492
3a_raw_gaussian,val,uncertainty,0.8571429337588552,0.03263280708672734,4794651
3a_raw_gaussian,val,uncertainty,0.8775510350016867,0.034573893902545054,4908809
3a_raw_gaussian,val,uncertainty,0.8979591362445182,0.03694381454921299,5022967
3a_raw_gaussian,val,uncertainty,0.9183674162580119,0.039694664376746014,5137126
3a_raw_gaussian,val,uncertainty,0.9387755175008433,0.04294728128487986,5251284
3a_raw_gaussian,val,uncertainty,0.9591836187436749,0.04662788596194047,5365442
3a_raw_gaussian,val,uncertainty,0.9795918987571685,0.05066099705569499,5479601
3a_raw_gaussian,val,uncertainty,1.0,0.05704726467127037,5593759
3a_raw_gaussian,test,uncertainty,1.7224558637909462e-07,0.0011340975761413574,1
3a_raw_gaussian,test,uncertainty,0.020408346056540648,0.009355179612473213,118484
3a_raw_gaussian,test,uncertainty,0.04081651986749492,0.008982976577738389,236967
3a_raw_gaussian,test,uncertainty,0.06122469367844918,0.008950032225778157,355450
3a_raw_gaussian,test,uncertainty,0.08163286748940345,0.009081095303159127,473933
3a_raw_gaussian,test,uncertainty,0.10204104130035772,0.009303410685165074,592416
3a_raw_gaussian,test,uncertainty,0.12244921511131199,0.0095498083097448,710899
3a_raw_gaussian,test,uncertainty,0.1428572166766799,0.009813451843883261,829381
3a_raw_gaussian,test,uncertainty,0.16326539048763414,0.010090577580962197,947864
3a_raw_gaussian,test,uncertainty,0.18367356429858842,0.01037635020589208,1066347
3a_raw_gaussian,test,uncertainty,0.2040817381095427,0.010660030231266264,1184830
3a_raw_gaussian,test,uncertainty,0.22448991192049694,0.010952379462959442,1303313
3a_raw_gaussian,test,uncertainty,0.24489808573145122,0.011262265711981195,1421796
3a_raw_gaussian,test,uncertainty,0.2653062595424055,0.011585031190058949,1540279
3a_raw_gaussian,test,uncertainty,0.2857144333533598,0.011924860466847617,1658762
3a_raw_gaussian,test,uncertainty,0.306122607164314,0.012290596331253222,1777245
3a_raw_gaussian,test,uncertainty,0.3265307809752683,0.012680826338485439,1895728
3a_raw_gaussian,test,uncertainty,0.34693895478622255,0.013110521962269433,2014211
3a_raw_gaussian,test,uncertainty,0.36734712859717683,0.013584043779236695,2132694
3a_raw_gaussian,test,uncertainty,0.3877551301625447,0.014121951981713524,2251176
3a_raw_gaussian,test,uncertainty,0.408163303973499,0.01472555415988315,2369659
3a_raw_gaussian,test,uncertainty,0.42857147778445326,0.015405399363248065,2488142
3a_raw_gaussian,test,uncertainty,0.44897965159540754,0.01616916252631298,2606625
3a_raw_gaussian,test,uncertainty,0.4693878254063618,0.01703283758787225,2725108
3a_raw_gaussian,test,uncertainty,0.48979599921731604,0.017999881377929693,2843591
3a_raw_gaussian,test,uncertainty,0.5102041730282704,0.019067981305283768,2962074
3a_raw_gaussian,test,uncertainty,0.5306123468392246,0.0202480259751523,3080557
3a_raw_gaussian,test,uncertainty,0.5510205206501788,0.021541309121415102,3199040
3a_raw_gaussian,test,uncertainty,0.5714286944611331,0.022945831454552798,3317523
3a_raw_gaussian,test,uncertainty,0.5918368682720874,0.024460049283734228,3436006
3a_raw_gaussian,test,uncertainty,0.6122450420830416,0.026094569096991888,3554489
3a_raw_gaussian,test,uncertainty,0.6326530436484096,0.027930146458566518,3672971
3a_raw_gaussian,test,uncertainty,0.6530612174593639,0.029962180673306815,3791454
3a_raw_gaussian,test,uncertainty,0.6734693912703181,0.03207692253279184,3909937
3a_raw_gaussian,test,uncertainty,0.6938775650812724,0.03419559186051777,4028420
3a_raw_gaussian,test,uncertainty,0.7142857388922266,0.036284031167576385,4146903
3a_raw_gaussian,test,uncertainty,0.7346939127031809,0.03823164173412858,4265386
3a_raw_gaussian,test,uncertainty,0.7551020865141351,0.039950429791953276,4383869
3a_raw_gaussian,test,uncertainty,0.7755102603250894,0.04148818379476862,4502352
3a_raw_gaussian,test,uncertainty,0.7959184341360437,0.04323807382152994,4620835
3a_raw_gaussian,test,uncertainty,0.816326607946998,0.04528885522141691,4739318
3a_raw_gaussian,test,uncertainty,0.8367347817579522,0.047653805189511254,4857801
3a_raw_gaussian,test,uncertainty,0.8571429555689065,0.05024663923945824,4976284
3a_raw_gaussian,test,uncertainty,0.8775509571342744,0.05300161824064266,5094766
3a_raw_gaussian,test,uncertainty,0.8979591309452286,0.05590124009890071,5213249
3a_raw_gaussian,test,uncertainty,0.9183673047561829,0.05897667526260397,5331732
3a_raw_gaussian,test,uncertainty,0.9387754785671372,0.062189995861762624,5450215
3a_raw_gaussian,test,uncertainty,0.9591836523780914,0.06560872129148801,5568698
3a_raw_gaussian,test,uncertainty,0.9795918261890457,0.06946278708204051,5687181
3a_raw_gaussian,test,uncertainty,1.0,0.07604289814613549,5805664
