variant,split,nominal_coverage,empirical_coverage,n
raw,val,0.5,0.4269016595101791,5593759
raw,val,0.6,0.5481669839547968,5593759
raw,val,0.7,0.6804613856263739,5593759
raw,val,0.8,0.8025783735051868,5593759
raw,val,0.9,0.9041617631363811,5593759
raw,val,0.95,0.9493910981863896,5593759
raw,test,0.5,0.36496393866403565,5805664
raw,test,0.6,0.4934553566999399,5805664
raw,test,0.7,0.6355123203823025,5805664
raw,test,0.8,0.7671270676360189,5805664
raw,test,0.9,0.8720261799511649,5805664
raw,test,0.95,0.9206812519635997,5805664
