dataset,predictor,split,maturity,moneyness,mean_tradability,abstain_rate,n_points
spy_phase1_random40_noiselow,conditional_calibrated,train,short,deep_itm,0.37853983828189436,0.9782608695652174,460.0
spy_phase1_random40_noiselow,conditional_calibrated,train,short,itm,0.11103013232939912,1.0,284.0
spy_phase1_random40_noiselow,conditional_calibrated,train,short,atm,0.3053978834537343,1.0,284.0
spy_phase1_random40_noiselow,conditional_calibrated,train,short,otm,0.3317048541066073,0.9581993569131833,311.0
spy_phase1_random40_noiselow,conditional_calibrated,train,short,deep_otm,0.5412577554088236,0.3076923076923077,130.0
spy_phase1_random40_noiselow,conditional_calibrated,train,medium,deep_itm,0.15064211846175882,1.0,2311.0
spy_phase1_random40_noiselow,conditional_calibrated,train,medium,itm,0.11530239425700171,1.0,1148.0
spy_phase1_random40_noiselow,conditional_calibrated,train,medium,atm,0.45514168848492714,0.7295081967213115,1342.0
spy_phase1_random40_noiselow,conditional_calibrated,train,medium,otm,0.4270778644537265,0.9976945244956772,1735.0
spy_phase1_random40_noiselow,conditional_calibrated,train,medium,deep_otm,0.4512958667294117,0.6453608247422681,485.0
spy_phase1_random40_noiselow,conditional_calibrated,train,long,deep_itm,0.12158577633570071,1.0,1553.0
spy_phase1_random40_noiselow,conditional_calibrated,train,long,itm,0.14658321502340652,0.9892857142857143,560.0
spy_phase1_random40_noiselow,conditional_calibrated,train,long,atm,0.5771340152892744,0.2727272727272727,1188.0
spy_phase1_random40_noiselow,conditional_calibrated,train,long,otm,0.47834972410128457,0.7647540983606558,1220.0
spy_phase1_random40_noiselow,conditional_calibrated,train,long,deep_otm,0.35756204547360537,1.0,576.0
spy_phase1_random40_noiselow,conditional_calibrated,val,short,deep_itm,0.12798379600902443,1.0,6036.0
spy_phase1_random40_noiselow,conditional_calibrated,val,short,itm,0.3381234254171553,1.0,8594.0
spy_phase1_random40_noiselow,conditional_calibrated,val,short,atm,0.45617661104449087,1.0,8928.0
spy_phase1_random40_noiselow,conditional_calibrated,val,short,otm,0.23385412642843925,1.0,5447.0
spy_phase1_random40_noiselow,conditional_calibrated,val,short,deep_otm,0.08740816092299425,1.0,239.0
spy_phase1_random40_noiselow,conditional_calibrated,val,medium,deep_itm,0.3077222718948628,1.0,11922.0
spy_phase1_random40_noiselow,conditional_calibrated,val,medium,itm,0.47718905042723814,1.0,7276.0
spy_phase1_random40_noiselow,conditional_calibrated,val,medium,atm,0.5035869449005195,1.0,6732.0
spy_phase1_random40_noiselow,conditional_calibrated,val,medium,otm,0.3851606717966104,1.0,4931.0
spy_phase1_random40_noiselow,conditional_calibrated,val,medium,deep_otm,0.22248810758656826,1.0,1658.0
spy_phase1_random40_noiselow,conditional_calibrated,val,long,deep_itm,0.3257841920906471,1.0,7134.0
spy_phase1_random40_noiselow,conditional_calibrated,val,long,itm,0.4706198393437909,1.0,5956.0
spy_phase1_random40_noiselow,conditional_calibrated,val,long,atm,0.4938978887979802,1.0,4680.0
spy_phase1_random40_noiselow,conditional_calibrated,val,long,otm,0.4777412907326523,1.0,3792.0
spy_phase1_random40_noiselow,conditional_calibrated,val,long,deep_otm,0.3101686319805018,1.0,3346.0
spy_phase1_random40_noiselow,conditional_calibrated,test,short,deep_itm,0.06812884849729044,1.0,1683.0
spy_phase1_random40_noiselow,conditional_calibrated,test,short,itm,0.18900060195425678,1.0,9383.0
spy_phase1_random40_noiselow,conditional_calibrated,test,short,atm,0.38519142933148415,1.0,9654.0
spy_phase1_random40_noiselow,conditional_calibrated,test,short,otm,0.13717546928738572,1.0,5051.0
spy_phase1_random40_noiselow,conditional_calibrated,test,short,deep_otm,0.05101903071353399,1.0,251.0
spy_phase1_random40_noiselow,conditional_calibrated,test,medium,deep_itm,0.09291600659348638,1.0,5286.0
spy_phase1_random40_noiselow,conditional_calibrated,test,medium,itm,0.35000887917571866,1.0,5112.0
spy_phase1_random40_noiselow,conditional_calibrated,test,medium,atm,0.463367895505457,1.0,4494.0
spy_phase1_random40_noiselow,conditional_calibrated,test,medium,otm,0.306084298159024,1.0,3696.0
spy_phase1_random40_noiselow,conditional_calibrated,test,medium,deep_otm,0.09522231460453023,1.0,1306.0
spy_phase1_random40_noiselow,conditional_calibrated,test,long,deep_itm,0.12119630157127373,1.0,5511.0
spy_phase1_random40_noiselow,conditional_calibrated,test,long,itm,0.3635097915575068,1.0,2790.0
spy_phase1_random40_noiselow,conditional_calibrated,test,long,atm,0.4546687297648116,1.0,2978.0
spy_phase1_random40_noiselow,conditional_calibrated,test,long,otm,0.35669287003056943,1.0,3354.0
spy_phase1_random40_noiselow,conditional_calibrated,test,long,deep_otm,0.1161557364459403,1.0,4061.0
