variant,split,metric,value,source,n
3b_anp,val,mae,0.0391229397445122,results/3/spy_phase1_random40_noiselow/3b_anp/metrics_summary.csv,86671
3b_anp,val,coverage_90,0.9546445754635344,results/3/spy_phase1_random40_noiselow/3b_anp/metrics_summary.csv,86671
3b_anp,val,mean_width,0.1755295518805782,results/3/spy_phase1_random40_noiselow/3b_anp/metrics_summary.csv,86671
3b_anp,val,hi_conf_mae_keep0.8,0.019149588509638,results/3/spy_phase1_random40_noiselow/3b_anp/metrics_summary.csv,86671
3b_anp,val,abstain_rate,1.0,results/3/spy_phase1_random40_noiselow/3b_anp/metrics_summary.csv,86671
3b_anp,val,mean_tradability,0.3707439803617115,results/3/spy_phase1_random40_noiselow/3b_anp/metrics_summary.csv,86671
3b_anp,test,mae,0.0813454329992391,results/3/spy_phase1_random40_noiselow/3b_anp/metrics_summary.csv,64610
3b_anp,test,coverage_90,0.9149357684568952,results/3/spy_phase1_random40_noiselow/3b_anp/metrics_summary.csv,64610
3b_anp,test,mean_width,0.3037737180955883,results/3/spy_phase1_random40_noiselow/3b_anp/metrics_summary.csv,64610
3b_anp,test,hi_conf_mae_keep0.8,0.0541641777843941,results/3/spy_phase1_random40_noiselow/3b_anp/metrics_summary.csv,64610
3b_anp,test,abstain_rate,1.0,results/3/spy_phase1_random40_noiselow/3b_anp/metrics_summary.csv,64610
3b_anp,test,mean_tradability,0.2574672374076401,results/3/spy_phase1_random40_noiselow/3b_anp/metrics_summary.csv,64610
3b_anp_fullfold_gaussian,test,mae,0.072159,artifacts/runs/3B4/gaussian/test_predictions.csv,5805664
3b_anp_fullfold_point,test,mae,0.067978,artifacts/runs/3B4/point_control/test_predictions.csv,5805664
baseline_interpolation_2d9,test,mae,0.0729689212440884,results/2D/comparison_summary.csv,64610
baseline_interpolation_2d9,test,hi_conf_mae,0.0741889109435331,results/2D/comparison_summary.csv,64610
baseline_interpolation_2d9,test,coverage_90,0.0,results/2D/comparison_summary.csv,64610
baseline_interpolation_2d9,test,mean_width,0.0,results/2D/comparison_summary.csv,64610
baseline_interpolation_2d9,test,abstain_rate,0.5689986070267761,results/2D/comparison_summary.csv,64610
baseline_interpolation_2d9,test,mean_tradability,0.9431001392973224,results/2D/comparison_summary.csv,64610
baseline_masked_mlp_2d9,test,mae,0.0905273249247453,results/2D/comparison_summary.csv,64610
baseline_masked_mlp_2d9,test,hi_conf_mae,0.0919051565250675,results/2D/comparison_summary.csv,64610
baseline_masked_mlp_2d9,test,coverage_90,0.0,results/2D/comparison_summary.csv,64610
baseline_masked_mlp_2d9,test,mean_width,0.0,results/2D/comparison_summary.csv,64610
baseline_masked_mlp_2d9,test,abstain_rate,0.0154774802662126,results/2D/comparison_summary.csv,64610
baseline_masked_mlp_2d9,test,mean_tradability,0.9984522519733788,results/2D/comparison_summary.csv,64610
baseline_conditional_point_2d9,test,mae,0.0841332692814271,results/2D/comparison_summary.csv,64610
baseline_conditional_point_2d9,test,hi_conf_mae,0.0855731256463907,results/2D/comparison_summary.csv,64610
baseline_conditional_point_2d9,test,coverage_90,0.0,results/2D/comparison_summary.csv,64610
baseline_conditional_point_2d9,test,mean_width,0.0,results/2D/comparison_summary.csv,64610
baseline_conditional_point_2d9,test,abstain_rate,0.0987463240984367,results/2D/comparison_summary.csv,64610
baseline_conditional_point_2d9,test,mean_tradability,0.9901253675901563,results/2D/comparison_summary.csv,64610
baseline_conditional_calibrated_2d9,test,mae,0.0855202579665029,results/2D/comparison_summary.csv,64610
baseline_conditional_calibrated_2d9,test,hi_conf_mae,0.0606464045644034,results/2D/comparison_summary.csv,64610
baseline_conditional_calibrated_2d9,test,coverage_90,0.9184027240365268,results/2D/comparison_summary.csv,64610
baseline_conditional_calibrated_2d9,test,mean_width,0.3657525159340682,results/2D/comparison_summary.csv,64610
baseline_conditional_calibrated_2d9,test,abstain_rate,1.0,results/2D/comparison_summary.csv,64610
baseline_conditional_calibrated_2d9,test,mean_tradability,0.2788928745125304,results/2D/comparison_summary.csv,64610
baseline_rbf_fullfold,test,mae,0.0662,docs/roadmaps/phase3_accuracy_push.md,5805664
3a_fourier,val,mae,0.062024326323419,artifacts/runs/3A/fourier/predictions_val.parquet,5593759
3a_fourier,val,coverage_90,0.9061566649546396,artifacts/runs/3A/fourier/predictions_val.parquet,5593759
3a_fourier,val,mean_width,0.2408881487783245,artifacts/runs/3A/fourier/predictions_val.parquet,5593759
3a_fourier,val,hi_conf_mae_keep0.8,0.0302204823995886,artifacts/runs/3A/fourier/predictions_val.parquet,5593759
3a_fourier,val,gaussian_nll,-1.6847209610549974,artifacts/runs/3A/fourier/predictions_val.parquet,5593759
3a_fourier,test,mae,0.0790473206470473,artifacts/runs/3A/fourier/predictions_test.parquet,5805664
3a_fourier,test,coverage_90,0.9012173284571756,artifacts/runs/3A/fourier/predictions_test.parquet,5805664
3a_fourier,test,mean_width,0.2946716054942739,artifacts/runs/3A/fourier/predictions_test.parquet,5805664
3a_fourier,test,hi_conf_mae_keep0.8,0.0455119030511719,artifacts/runs/3A/fourier/predictions_test.parquet,5805664
3a_fourier,test,gaussian_nll,-1.4149681158749194,artifacts/runs/3A/fourier/predictions_test.parquet,5805664
3a_raw,val,mae,0.0570472646712703,artifacts/runs/3A/raw/predictions_val.parquet,5593759
3a_raw,val,coverage_90,0.9041617631363812,artifacts/runs/3A/raw/predictions_val.parquet,5593759
3a_raw,val,mean_width,0.2146382474925082,artifacts/runs/3A/raw/predictions_val.parquet,5593759
3a_raw,val,hi_conf_mae_keep0.8,0.0282324878928986,artifacts/runs/3A/raw/predictions_val.parquet,5593759
3a_raw,val,gaussian_nll,-1.7969410813115791,artifacts/runs/3A/raw/predictions_val.parquet,5593759
3a_raw,test,mae,0.0760428981461354,artifacts/runs/3A/raw/predictions_test.parquet,5805664
3a_raw,test,coverage_90,0.8720261799511649,artifacts/runs/3A/raw/predictions_test.parquet,5805664
3a_raw,test,mean_width,0.2595612217002851,artifacts/runs/3A/raw/predictions_test.parquet,5805664
3a_raw,test,hi_conf_mae_keep0.8,0.0436205542134467,artifacts/runs/3A/raw/predictions_test.parquet,5805664
