dataset,predictor,split,maturity,moneyness,mean_tradability,abstain_rate,n_points
spy_phase1_random40_noiselow_otm,conditional_calibrated,train,short,deep_itm,,,
spy_phase1_random40_noiselow_otm,conditional_calibrated,train,short,itm,0.07507638798837632,1.0,95.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,train,short,atm,0.07731764495565616,1.0,142.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,train,short,otm,0.021793128662102392,1.0,72.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,train,short,deep_otm,,,
spy_phase1_random40_noiselow_otm,conditional_calibrated,train,medium,deep_itm,0.12979136259976792,1.0,731.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,train,medium,itm,0.06985628450579684,1.0,574.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,train,medium,atm,0.15690568737956442,1.0,671.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,train,medium,otm,0.2516636507538369,1.0,788.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,train,medium,deep_otm,0.11723859448181954,1.0,95.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,train,long,deep_itm,0.11580666473880845,1.0,761.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,train,long,itm,0.03821681512289494,1.0,280.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,train,long,atm,0.1930530896771355,1.0,594.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,train,long,otm,0.2802238492170969,1.0,615.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,train,long,deep_otm,0.12613660419893846,1.0,286.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,val,short,deep_itm,0.10384564285444298,1.0,2203.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,val,short,itm,0.29959346554642774,1.0,4163.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,val,short,atm,0.3048883139142871,1.0,4433.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,val,short,otm,0.41641486928203686,1.0,2124.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,val,short,deep_otm,0.16867835223674774,1.0,3.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,val,medium,deep_itm,0.29844868157319815,1.0,5952.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,val,medium,itm,0.5000112120137888,1.0,3638.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,val,medium,atm,0.4283986857549392,1.0,3366.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,val,medium,otm,0.4585572263759404,1.0,2444.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,val,medium,deep_otm,0.3342008881764093,1.0,710.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,val,long,deep_itm,0.3871890152882098,1.0,3567.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,val,long,itm,0.48009281652217106,1.0,2978.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,val,long,atm,0.367178129463369,1.0,2340.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,val,long,otm,0.47486064543452444,1.0,1896.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,val,long,deep_otm,0.45550714225307315,1.0,1673.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,test,short,deep_itm,0.15043584172323418,1.0,641.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,test,short,itm,0.23649365329730668,1.0,4500.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,test,short,atm,0.3060763497429138,1.0,4743.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,test,short,otm,0.41304150377951776,1.0,1030.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,test,short,deep_otm,,,
spy_phase1_random40_noiselow_otm,conditional_calibrated,test,medium,deep_itm,0.31498154117569616,1.0,2636.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,test,medium,itm,0.49108725767320316,1.0,2556.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,test,medium,atm,0.48329971606167993,1.0,2247.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,test,medium,otm,0.5100170009788527,1.0,1811.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,test,medium,deep_otm,0.2805820416094679,1.0,396.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,test,long,deep_itm,0.37246642004428815,1.0,2652.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,test,long,itm,0.4707323121896354,1.0,1395.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,test,long,atm,0.37378941156305345,1.0,1489.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,test,long,otm,0.47303706646392085,1.0,1677.0
spy_phase1_random40_noiselow_otm,conditional_calibrated,test,long,deep_otm,0.4977460412099983,1.0,1777.0
