family,head,data_substrate,split,metric,value,source,n
rbf,interp,dirty,test,mae,0.0662,docs/roadmaps/phase3_accuracy_push.md,5805664
rbf,interp,otm,val,mae,0.006151118707710642,results/3/spy_phase1_random40_noiselow_otm/rbf/metrics_summary.csv,2638892
rbf,interp,otm,test,mae,0.006131847035635011,results/3/spy_phase1_random40_noiselow_otm/rbf/metrics_summary.csv,2769021
mlp,point,dirty,val,mae,0.09569303568886355,results/2D/spy_phase1_random40_noiselow/masked_mlp/metrics_summary.csv,86671
mlp,point,dirty,test,mae,0.09052732492474538,results/2D/spy_phase1_random40_noiselow/masked_mlp/metrics_summary.csv,64610
mlp,point,otm,val,mae,0.03391062468290329,artifacts/runs/3X7/mlp_otm/manifest.json,2638892
mlp,point,otm,test,mae,0.030062895268201828,artifacts/runs/3X7/mlp_otm/manifest.json,2769021
deepsets_single,gaussian,dirty,val,mae,0.06061740592122078,artifacts/runs/2D7/gaussian/manifest.json,5593759
deepsets_single,gaussian,dirty,test,mae,0.07873494178056717,artifacts/runs/2D7/gaussian/manifest.json,5805664
deepsets_single,gaussian,otm,val,mae,0.014615774154663086,artifacts/runs/3X8/single_gaussian/manifest.json,2638892
deepsets_single,gaussian,otm,test,mae,0.015295717865228653,artifacts/runs/3X8/single_gaussian/manifest.json,2769021
deepsets_single,quantile,dirty,val,mae,0.05300027132034302,artifacts/runs/2D7/quantile/manifest.json,5593759
deepsets_single,quantile,dirty,test,mae,0.07187634706497192,artifacts/runs/2D7/quantile/manifest.json,5805664
deepsets_single,quantile,otm,val,mae,0.012943549081683159,artifacts/runs/3X8/single_quantile/manifest.json,2638892
deepsets_single,quantile,otm,test,mae,0.014180073514580727,artifacts/runs/3X8/single_quantile/manifest.json,2769021
deepsets_single,point,dirty,val,mae,0.05766171216964722,artifacts/runs/2D7/point/manifest.json,5593759
deepsets_single,point,dirty,test,mae,0.07557652145624161,artifacts/runs/2D7/point/manifest.json,5805664
deepsets_single,point,otm,val,mae,0.01803993433713913,artifacts/runs/3X8/single_point/manifest.json,2638892
deepsets_single,point,otm,test,mae,0.017520112916827202,artifacts/runs/3X8/single_point/manifest.json,2769021
deepsets_ensemble,point,dirty,val,mae,0.057498008012771606,artifacts/runs/2D8/manifest.json,5593759
deepsets_ensemble,point,dirty,test,mae,0.07476689666509628,artifacts/runs/2D8/manifest.json,5805664
deepsets_ensemble,point,otm,val,mae,0.016263997182250023,artifacts/runs/3X8/ensemble/manifest.json,2638892
deepsets_ensemble,point,otm,test,mae,0.01593746989965439,artifacts/runs/3X8/ensemble/manifest.json,2769021
anp_single,gaussian,dirty,val,mae,0.053334176540374756,artifacts/runs/3B4/gaussian/manifest.json,5593759
anp_single,gaussian,dirty,test,mae,0.0725608617067337,artifacts/runs/3B4/gaussian/manifest.json,5805664
anp_single,gaussian,otm,val,mae,0.013491049408912659,artifacts/runs/3X9/gaussian/manifest.json,2638892
anp_single,gaussian,otm,test,mae,0.014403915964066982,artifacts/runs/3X9/gaussian/manifest.json,2769021
anp_single,quantile,dirty,val,mae,0.04852014407515526,artifacts/runs/3B4/quantile/manifest.json,5593759
anp_single,quantile,dirty,test,mae,0.06809066981077194,artifacts/runs/3B4/quantile/manifest.json,5805664
anp_single,quantile,otm,val,mae,0.011307728476822376,artifacts/runs/3X9/quantile/manifest.json,2638892
anp_single,quantile,otm,test,mae,0.011751929298043251,artifacts/runs/3X9/quantile/manifest.json,2769021
anp_single,point,dirty,val,mae,0.04862135648727417,artifacts/runs/3B4/point_control/manifest.json,5593759
anp_single,point,dirty,test,mae,0.06836605072021484,artifacts/runs/3B4/point_control/manifest.json,5805664
anp_single,point,otm,val,mae,0.009563255123794079,artifacts/runs/3X9/point_control/manifest.json,2638892
anp_single,point,otm,test,mae,0.009871306829154491,artifacts/runs/3X9/point_control/manifest.json,2769021
anp_ensemble,point,dirty,val,mae,0.04895734414458275,artifacts/runs/3B5/manifest.json,5593759
anp_ensemble,point,dirty,test,mae,0.06886028498411179,artifacts/runs/3B5/manifest.json,5805664
anp_ensemble,point,otm,val,mae,0.01125281024724245,artifacts/runs/3X10/manifest.json,2638892
anp_ensemble,point,otm,test,mae,0.012200304307043552,artifacts/runs/3X10/manifest.json,2769021
anp_calibrated,fused,dirty,val,mae,0.03912293974451229,results/3/spy_phase1_random40_noiselow/3b_anp/metrics_summary.csv,86671
anp_calibrated,fused,dirty,val,coverage_90,0.9546445754635345,results/3/spy_phase1_random40_noiselow/3b_anp/metrics_summary.csv,86671
anp_calibrated,fused,dirty,val,mean_width,0.17552955188057826,results/3/spy_phase1_random40_noiselow/3b_anp/metrics_summary.csv,86671
anp_calibrated,fused,dirty,val,hi_conf_mae_keep0.8,0.01914958850963807,results/3/spy_phase1_random40_noiselow/3b_anp/metrics_summary.csv,86671
