family,head,dirty_test_mae,otm_test_mae,delta_otm_minus_dirty,dirty_over_otm_ratio,dirty_source,otm_source
anp_calibrated,fused,0.08134543299923915,0.011618361451152538,-0.0697270715480866,7.001,results/3/spy_phase1_random40_noiselow/3b_anp/metrics_summary.csv,results/3/spy_phase1_random40_noiselow_otm/3x_anp/metrics_summary.csv
anp_ensemble,point,0.06886028498411179,0.012200304307043552,-0.056659980677068233,5.644,artifacts/runs/3B5/manifest.json,artifacts/runs/3X10/manifest.json
anp_single,gaussian,0.0725608617067337,0.014403915964066982,-0.05815694574266672,5.038,artifacts/runs/3B4/gaussian/manifest.json,artifacts/runs/3X9/gaussian/manifest.json
anp_single,point,0.06836605072021484,0.009871306829154491,-0.05849474389106035,6.926,artifacts/runs/3B4/point_control/manifest.json,artifacts/runs/3X9/point_control/manifest.json
anp_single,quantile,0.06809066981077194,0.011751929298043251,-0.05633874051272869,5.794,artifacts/runs/3B4/quantile/manifest.json,artifacts/runs/3X9/quantile/manifest.json
deepsets_ensemble,point,0.07476689666509628,0.01593746989965439,-0.058829426765441895,4.691,artifacts/runs/2D8/manifest.json,artifacts/runs/3X8/ensemble/manifest.json
deepsets_single,gaussian,0.07873494178056717,0.015295717865228653,-0.06343922391533852,5.148,artifacts/runs/2D7/gaussian/manifest.json,artifacts/runs/3X8/single_gaussian/manifest.json
deepsets_single,point,0.07557652145624161,0.017520112916827202,-0.058056408539414406,4.314,artifacts/runs/2D7/point/manifest.json,artifacts/runs/3X8/single_point/manifest.json
deepsets_single,quantile,0.07187634706497192,0.014180073514580727,-0.0576962735503912,5.069,artifacts/runs/2D7/quantile/manifest.json,artifacts/runs/3X8/single_quantile/manifest.json
mlp,point,0.09052732492474538,0.030062895268201828,-0.060464429656543556,3.011,results/2D/spy_phase1_random40_noiselow/masked_mlp/metrics_summary.csv,artifacts/runs/3X7/mlp_otm/manifest.json
rbf,interp,0.0662,0.006131847035635011,-0.06006815296436498,10.796,docs/roadmaps/phase3_accuracy_push.md,results/3/spy_phase1_random40_noiselow_otm/rbf/metrics_summary.csv
