family,head,split,metric,value,source
rbf,interp,test,mae,0.006131847035635011,results/3/spy_phase1_random40_noiselow_otm/rbf/metrics_summary.csv
anp_single,point,test,mae,0.009871306829154491,results/3/spy_phase1_random40_noiselow_otm/3x_compare/comparison_wide.csv
anp_single,quantile,test,mae,0.011751929298043251,results/3/spy_phase1_random40_noiselow_otm/3x_compare/comparison_wide.csv
anp_single,gaussian,test,mae,0.014403915964066982,results/3/spy_phase1_random40_noiselow_otm/3x_compare/comparison_wide.csv
anp_calibrated,fused,test,mae,0.011618361451152538,results/3/spy_phase1_random40_noiselow_otm/3x_anp/metrics_summary.csv
anp_calibrated,fused,test,coverage_90,0.9295431472081218,results/3/spy_phase1_random40_noiselow_otm/3x_anp/metrics_summary.csv
anp_calibrated,fused,test,hi_conf_mae_keep0.8,0.008352196027861938,results/3/spy_phase1_random40_noiselow_otm/3x_anp/metrics_summary.csv
anp_calibrated,fused,test,mean_width,0.05382371292148548,results/3/spy_phase1_random40_noiselow_otm/3x_anp/metrics_summary.csv
anp_calibrated,fused,test,n_forbidden_flag_violations,1814,results/3/spy_phase1_random40_noiselow_otm/3x_anp/metrics_summary.csv
rbf_prior_hybrid,gaussian,test,mae,0.006006203981517655,results/4/spy_phase1_random40_noiselow_otm/4a_hybrid/metrics_summary.csv
rbf_prior_hybrid,gaussian,test,mae_vs_iv_true,0.006787998923853339,results/4/spy_phase1_random40_noiselow_otm/4a_hybrid/metrics_summary.csv
rbf_prior_hybrid,gaussian,test,delta_vs_rbf,-0.0001256430541173555,results/4/spy_phase1_random40_noiselow_otm/4a_hybrid/metrics_summary.csv
rbf_prior_hybrid,gaussian,test,coverage_90_vs_iv_true,0.918099934958962,results/4/spy_phase1_random40_noiselow_otm/4a_hybrid/metrics_summary.csv
rbf_prior_hybrid,gaussian,test,coverage_90_vs_iv_clean,0.9620309849582217,results/4/spy_phase1_random40_noiselow_otm/4a_hybrid/metrics_summary.csv
rbf_prior_hybrid,gaussian,test,hi_conf_mae_keep0.8,0.004709914719952944,results/4/spy_phase1_random40_noiselow_otm/4a_hybrid/metrics_summary.csv
rbf_prior_hybrid,gaussian,test,mean_width,0.03281035115902157,results/4/spy_phase1_random40_noiselow_otm/4a_hybrid/metrics_summary.csv
rbf_prior_hybrid,gaussian,test,ci_low,-0.00014379542638150552,results/4/spy_phase1_random40_noiselow_otm/4a_hybrid/mae_delta_ci.json
rbf_prior_hybrid,gaussian,test,ci_high,-0.00010566958411868487,results/4/spy_phase1_random40_noiselow_otm/4a_hybrid/mae_delta_ci.json
rbf_prior_hybrid,gaussian,test,ci_significant,True,results/4/spy_phase1_random40_noiselow_otm/4a_hybrid/mae_delta_ci.json
